  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1411                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    45.176 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000   0.0060   0.00487   0.00067  -0.0275   0.2703   0.0985
  -0.900   0.0183   0.00487   0.00068  -0.0275   0.2671   0.0997
  -0.800   0.0305   0.00488   0.00067  -0.0275   0.2589   0.1037
  -0.700   0.0426   0.00488   0.00067  -0.0276   0.2525   0.1106
  -0.600   0.0548   0.00488   0.00067  -0.0276   0.2469   0.1148
  -0.500   0.0669   0.00487   0.00066  -0.0277   0.2417   0.1214
  -0.400   0.0792   0.00488   0.00067  -0.0277   0.2360   0.1230
  -0.300   0.0913   0.00489   0.00067  -0.0277   0.2289   0.1282
  -0.200   0.1035   0.00488   0.00067  -0.0278   0.2235   0.1338
  -0.100   0.1157   0.00489   0.00067  -0.0278   0.2180   0.1404
   0.000   0.1278   0.00489   0.00067  -0.0279   0.2096   0.1449
   0.100   0.1400   0.00489   0.00067  -0.0279   0.2077   0.1501
   0.200   0.1521   0.00492   0.00068  -0.0279   0.1971   0.1536
   0.400   0.1765   0.00493   0.00069  -0.0280   0.1883   0.1620
   0.600   0.2007   0.00496   0.00071  -0.0281   0.1720   0.1734
   0.700   0.2129   0.00496   0.00071  -0.0281   0.1694   0.1797
   0.800   0.2251   0.00496   0.00072  -0.0282   0.1667   0.1885
   0.900   0.2373   0.00497   0.00072  -0.0282   0.1604   0.1913
   1.000   0.2493   0.00499   0.00074  -0.0282   0.1539   0.1965
   1.100   0.2615   0.00500   0.00074  -0.0283   0.1490   0.2038
   1.200   0.2737   0.00501   0.00075  -0.0283   0.1448   0.2088
   1.300   0.2858   0.00504   0.00077  -0.0283   0.1357   0.2143
   1.400   0.2979   0.00504   0.00078  -0.0284   0.1326   0.2206
   1.500   0.3101   0.00507   0.00080  -0.0284   0.1258   0.2210
   1.600   0.3222   0.00509   0.00081  -0.0284   0.1216   0.2275
   1.700   0.3343   0.00511   0.00083  -0.0285   0.1154   0.2361
   1.800   0.3466   0.00511   0.00083  -0.0285   0.1137   0.2401
   1.900   0.3586   0.00514   0.00086  -0.0285   0.1066   0.2510
   2.000   0.3707   0.00515   0.00086  -0.0285   0.1021   0.2572
   2.100   0.3828   0.00518   0.00089  -0.0286   0.0973   0.2600
   2.200   0.3950   0.00518   0.00090  -0.0286   0.0944   0.2692
   2.300   0.4072   0.00521   0.00092  -0.0286   0.0902   0.2727
   2.400   0.4193   0.00524   0.00094  -0.0286   0.0848   0.2789
   2.500   0.4315   0.00525   0.00096  -0.0287   0.0814   0.2850
   2.600   0.4435   0.00527   0.00098  -0.0287   0.0781   0.2956
   2.700   0.4557   0.00530   0.00100  -0.0287   0.0732   0.2966
   2.900   0.4800   0.00535   0.00105  -0.0287   0.0675   0.3093
   3.000   0.4921   0.00536   0.00107  -0.0287   0.0634   0.3198
   3.200   0.5164   0.00541   0.00112  -0.0287   0.0579   0.3327
   3.300   0.5286   0.00543   0.00114  -0.0288   0.0546   0.3360
   3.400   0.5408   0.00544   0.00116  -0.0288   0.0538   0.3466
   3.500   0.5529   0.00548   0.00119  -0.0288   0.0506   0.3503
   3.600   0.5651   0.00550   0.00122  -0.0288   0.0477   0.3574
   3.700   0.5772   0.00554   0.00125  -0.0288   0.0452   0.3630
   3.800   0.5894   0.00556   0.00128  -0.0288   0.0439   0.3692
   3.900   0.6015   0.00558   0.00130  -0.0288   0.0410   0.3757
   4.000   0.6137   0.00561   0.00133  -0.0288   0.0397   0.3813
   4.100   0.6258   0.00564   0.00137  -0.0287   0.0377   0.3884
   4.200   0.6380   0.00566   0.00139  -0.0287   0.0355   0.4006
   4.300   0.6502   0.00568   0.00142  -0.0287   0.0351   0.4046
   4.400   0.6622   0.00572   0.00146  -0.0287   0.0322   0.4142
   4.500   0.6745   0.00575   0.00150  -0.0287   0.0306   0.4197
   4.600   0.6867   0.00576   0.00152  -0.0287   0.0302   0.4296
   4.700   0.6988   0.00579   0.00156  -0.0287   0.0293   0.4374
   4.800   0.7109   0.00583   0.00160  -0.0286   0.0277   0.4440
   4.900   0.7231   0.00585   0.00163  -0.0286   0.0260   0.4530
   5.000   0.7354   0.00587   0.00166  -0.0286   0.0258   0.4596
   5.200   0.7597   0.00595   0.00174  -0.0285   0.0236   0.4722
   5.300   0.7718   0.00597   0.00178  -0.0285   0.0223   0.4803
   5.400   0.7841   0.00600   0.00182  -0.0284   0.0220   0.4893
   5.500   0.7962   0.00604   0.00186  -0.0284   0.0211   0.4955
   5.600   0.8083   0.00608   0.00191  -0.0283   0.0193   0.5044
   5.700   0.8206   0.00611   0.00194  -0.0283   0.0191   0.5107
   5.800   0.8328   0.00614   0.00198  -0.0282   0.0188   0.5174
   5.900   0.8449   0.00618   0.00203  -0.0282   0.0180   0.5237
   6.000   0.8571   0.00622   0.00208  -0.0281   0.0172   0.5327
   6.100   0.8693   0.00626   0.00212  -0.0280   0.0164   0.5372
   6.200   0.8815   0.00629   0.00216  -0.0280   0.0161   0.5460
   6.300   0.8938   0.00632   0.00220  -0.0279   0.0159   0.5535
   6.400   0.9059   0.00636   0.00225  -0.0278   0.0155   0.5593
   6.500   0.9181   0.00641   0.00230  -0.0278   0.0149   0.5647
   6.600   0.9302   0.00645   0.00235  -0.0277   0.0143   0.5748
   6.700   0.9424   0.00649   0.00241  -0.0276   0.0136   0.5810
   6.800   0.9547   0.00653   0.00245  -0.0275   0.0135   0.5880
   6.900   0.9669   0.00657   0.00250  -0.0274   0.0132   0.5957
   7.000   0.9791   0.00661   0.00256  -0.0273   0.0129   0.6022
   7.100   0.9911   0.00667   0.00262  -0.0272   0.0122   0.6115
   7.200   1.0033   0.00672   0.00268  -0.0271   0.0116   0.6169
   7.400   1.0278   0.00680   0.00278  -0.0269   0.0112   0.6312
   7.500   1.0400   0.00684   0.00283  -0.0267   0.0111   0.6393
   7.600   1.0523   0.00689   0.00289  -0.0266   0.0109   0.6476
   7.700   1.0645   0.00694   0.00295  -0.0265   0.0107   0.6540
   7.800   1.0765   0.00700   0.00302  -0.0263   0.0102   0.6638
   7.900   1.0887   0.00706   0.00309  -0.0262   0.0099   0.6694
   8.000   1.1008   0.00710   0.00315  -0.0260   0.0095   0.6797
   8.100   1.1131   0.00715   0.00321  -0.0259   0.0092   0.6873
   8.200   1.1253   0.00720   0.00327  -0.0257   0.0092   0.6946
   8.300   1.1375   0.00725   0.00333  -0.0256   0.0091   0.7046
   8.400   1.1497   0.00730   0.00340  -0.0254   0.0089   0.7123
   8.500   1.1619   0.00736   0.00347  -0.0252   0.0088   0.7201
   8.600   1.1740   0.00742   0.00355  -0.0251   0.0085   0.7289
   8.700   1.1860   0.00749   0.00363  -0.0248   0.0081   0.7380
   8.800   1.1982   0.00755   0.00371  -0.0246   0.0079   0.7468
   8.900   1.2103   0.00761   0.00378  -0.0244   0.0075   0.7581
   9.000   1.2225   0.00766   0.00386  -0.0242   0.0074   0.7702
   9.100   1.2347   0.00771   0.00393  -0.0240   0.0074   0.7820
   9.200   1.2469   0.00776   0.00400  -0.0238   0.0074   0.7925
   9.300   1.2591   0.00782   0.00408  -0.0236   0.0073   0.8041
