# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 2.09813707E-01

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 1.90262120E-01  2.57235109E+01 -1.84912871E+02  2.57226417E+01  2.84458588E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.65362189E-01  5.24366869E-01
 1.00201544E+00 -6.40561508E-05  4.77195171E-01  5.30884095E-01
 1.00459359E+00 -1.43263606E-04  4.31200694E-01  5.59445499E-01
 1.00763019E+00 -2.35095797E-04  3.94362093E-01  5.85502941E-01
 1.01149946E+00 -3.51824156E-04  3.67893715E-01  6.06616521E-01
 1.01601683E+00 -4.87043459E-04  3.46258296E-01  6.24194216E-01
 1.02114139E+00 -6.38489702E-04  3.27477561E-01  6.39195427E-01
 1.02693976E+00 -8.07215308E-04  3.10298592E-01  6.52407482E-01
 1.03353897E+00 -9.95999330E-04  2.94079992E-01  6.64352563E-01
 1.04109900E+00 -1.20835584E-03  2.78474928E-01  6.75381515E-01
 1.04980571E+00 -1.44822945E-03  2.63292187E-01  6.85730217E-01
 1.05987115E+00 -1.71992372E-03  2.48425421E-01  6.95555599E-01
 1.07153637E+00 -2.02808208E-03  2.33814830E-01  7.04961369E-01
 1.08507570E+00 -2.37768049E-03  2.19427749E-01  7.14016058E-01
 1.10080203E+00 -2.77401326E-03  2.05251373E-01  7.22764616E-01
 1.11907306E+00 -3.22265609E-03  1.91284284E-01  7.31238116E-01
 1.14029830E+00 -3.72939429E-03  1.77525321E-01  7.39461839E-01
 1.16494674E+00 -4.30011093E-03  1.63972674E-01  7.47457955E-01
 1.19355510E+00 -4.94063986E-03  1.50619281E-01  7.55242621E-01
 1.22673657E+00 -5.65659974E-03  1.37495830E-01  7.62811835E-01
 1.26518990E+00 -6.45323567E-03  1.24662572E-01  7.70151489E-01
 1.30970870E+00 -7.33529938E-03  1.12163019E-01  7.77249780E-01
 1.36119130E+00 -8.30699470E-03  1.00070038E-01  7.84081275E-01
 1.42065115E+00 -9.37200284E-03  8.84775960E-02  7.90610431E-01
 1.48922832E+00 -1.05335849E-02  7.74774049E-02  7.96798466E-01
 1.56820268E+00 -1.17947432E-02  6.71786042E-02  8.02607367E-01
 1.65900927E+00 -1.31584138E-02  5.76035763E-02  8.08028936E-01
 1.76325650E+00 -1.46276584E-02  4.88397916E-02  8.13029854E-01
 1.88274793E+00 -1.62058312E-02  4.09436165E-02  8.17591483E-01
 2.01950800E+00 -1.78967017E-02  3.39316178E-02  8.21710290E-01
 2.17581230E+00 -1.97045292E-02  2.78124314E-02  8.25384772E-01
 2.35422291E+00 -2.16340895E-02  2.25518889E-02  8.28631476E-01
 2.55762922E+00 -2.36906634E-02  1.81019159E-02  8.31473165E-01
 2.78929471E+00 -2.58799987E-02  1.44009133E-02  8.33936541E-01
 3.05291045E+00 -2.82082582E-02  1.13860452E-02  8.36051240E-01
 3.35883525E+00 -3.08489804E-02  8.96846692E-03  8.37877066E-01
 3.71436975E+00 -3.38681665E-02  6.91808694E-03  8.39500187E-01
 4.12128878E+00 -3.71647738E-02  5.28347406E-03  8.40888681E-01
 4.58608691E+00 -4.07527736E-02  4.20167855E-03  8.42016209E-01
 5.11658260E+00 -4.46552901E-02  3.17526344E-03  8.43070557E-01
 5.72179066E+00 -4.88986729E-02  2.50657729E-03  8.43930714E-01
 6.41204052E+00 -5.35120921E-02  1.95621543E-03  8.44714369E-01
 7.19914191E+00 -5.85276055E-02  1.49305943E-03  8.45361948E-01
 8.09658266E+00 -6.39803370E-02  1.08363179E-03  8.45966542E-01
 9.11975841E+00 -6.99087221E-02  6.56359135E-04  8.46542748E-01
 1.02862370E+01 -7.63548064E-02  1.53051041E-04  8.47204027E-01
 1.16160610E+01 -8.33645917E-02 -8.05606743E-04  8.48021260E-01
 1.31320942E+01 -9.09884300E-02 -2.53315326E-03  8.49212484E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.89927665E-01 -2.56837236E+01  1.84640873E+02 -2.56828559E+01 -2.83978436E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.27647032E-01  4.92029459E-01
 1.00201544E+00 -6.40561508E-05  4.55991618E-01  4.93555658E-01
 1.00459359E+00 -1.43263606E-04  4.13786791E-01  5.19805267E-01
 1.00763019E+00 -2.35095797E-04  3.79701826E-01  5.44027085E-01
 1.01149946E+00 -3.51824156E-04  3.53454951E-01  5.64014413E-01
 1.01601683E+00 -4.87043459E-04  3.32113276E-01  5.80679736E-01
 1.02114139E+00 -6.38489702E-04  3.13698160E-01  5.95059292E-01
 1.02693976E+00 -8.07215308E-04  2.96980402E-01  6.07912421E-01
 1.03353897E+00 -9.95999330E-04  2.81291213E-01  6.19723852E-01
 1.04109900E+00 -1.20835584E-03  2.66263426E-01  6.30795215E-01
 1.04980571E+00 -1.44822945E-03  2.51697215E-01  6.41314192E-01
 1.05987115E+00 -1.71992372E-03  2.37470805E-01  6.51402157E-01
 1.07153637E+00 -2.02808208E-03  2.23507817E-01  6.61137882E-01
 1.08507570E+00 -2.37768049E-03  2.09758509E-01  6.70573817E-01
 1.10080203E+00 -2.77401326E-03  1.96196537E-01  6.79750441E-01
 1.11907306E+00 -3.22265609E-03  1.82804531E-01  6.88707135E-01
 1.14029830E+00 -3.72939429E-03  1.69561154E-01  6.97475431E-01
 1.16494674E+00 -4.30011093E-03  1.56472992E-01  7.06071648E-01
 1.19355510E+00 -4.94063986E-03  1.43555057E-01  7.14506148E-01
 1.22673657E+00 -5.65659974E-03  1.30840460E-01  7.22776730E-01
 1.26518990E+00 -6.45323567E-03  1.18372418E-01  7.30859449E-01
 1.30970870E+00 -7.33529938E-03  1.06235978E-01  7.38702870E-01
 1.36119130E+00 -8.30699470E-03  9.44956634E-02  7.46254640E-01
 1.42065115E+00 -9.37200284E-03  8.32498457E-02  7.53455108E-01
 1.48922832E+00 -1.05335849E-02  7.25887141E-02  7.60256619E-01
 1.56820268E+00 -1.17947432E-02  6.26035088E-02  7.66622965E-01
 1.65900927E+00 -1.31584138E-02  5.33409254E-02  7.72539728E-01
 1.76325650E+00 -1.46276584E-02  4.48647352E-02  7.77989736E-01
 1.88274793E+00 -1.62058312E-02  3.72220878E-02  7.82967957E-01
 2.01950800E+00 -1.78967017E-02  3.04330327E-02  7.87484138E-01
 2.17581230E+00 -1.97045292E-02  2.44971212E-02  7.91560247E-01
 2.35422291E+00 -2.16340895E-02  1.93833976E-02  7.95233974E-01
 2.55762922E+00 -2.36906634E-02  1.50407140E-02  7.98554284E-01
 2.78929471E+00 -2.58799987E-02  1.14072775E-02  8.01573809E-01
 3.05291045E+00 -2.82082582E-02  8.44274683E-03  8.04324394E-01
 3.35883525E+00 -3.08489804E-02  6.11644351E-03  8.06913487E-01
 3.71436975E+00 -3.38681665E-02  4.04085387E-03  8.09351216E-01
 4.12128878E+00 -3.71647738E-02  2.26791714E-03  8.11882173E-01
 4.58608691E+00 -4.07527736E-02  1.33728633E-03  8.14291800E-01
 5.11658260E+00 -4.46552901E-02  3.23874938E-04  8.16644738E-01
 5.72179066E+00 -4.88986729E-02 -3.29706163E-04  8.18962410E-01
 6.41204052E+00 -5.35120921E-02 -8.47525660E-04  8.21279566E-01
 7.19914191E+00 -5.85276055E-02 -1.22546617E-03  8.23563031E-01
 8.09658266E+00 -6.39803370E-02 -1.54208985E-03  8.25813558E-01
 9.11975841E+00 -6.99087221E-02 -1.82111727E-03  8.28012636E-01
 1.02862370E+01 -7.63548064E-02 -2.20373747E-03  8.30159298E-01
 1.16160610E+01 -8.33645917E-02 -3.04059590E-03  8.32482139E-01
 1.31320942E+01 -9.09884300E-02 -6.54079712E-03  8.36504003E-01

# jlow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 5.62496458E-02  4.51969705E-01 -2.15594909E-01  4.51760692E-01  5.79043509E-02
# x y Cp Mach
 9.98630474E-01 -1.43784564E-04  4.65362189E-01  5.24366868E-01
 9.93167374E-01 -7.14712803E-04  3.97555093E-01  5.62502610E-01
 9.82301029E-01 -1.83988437E-03  3.38805184E-01  5.97572394E-01
 9.66150493E-01 -3.48656101E-03  2.82998347E-01  6.28456238E-01
 9.44892715E-01 -5.60724905E-03  2.32341839E-01  6.55948735E-01
 9.18760600E-01 -8.14170201E-03  1.86749338E-01  6.80316615E-01
 8.88040455E-01 -1.10196166E-02  1.45514248E-01  7.02107656E-01
 8.53068858E-01 -1.41639063E-02  1.07619113E-01  7.21961970E-01
 8.14228965E-01 -1.74942951E-02  7.27684456E-02  7.40159191E-01
 7.71946313E-01 -2.09308304E-02  4.09416834E-02  7.56730268E-01
 7.26684161E-01 -2.43968184E-02  1.24511480E-02  7.71527776E-01
 6.78938409E-01 -2.78206714E-02 -1.19346056E-02  7.84164061E-01
 6.29232171E-01 -3.11362673E-02 -3.02882259E-02  7.93692584E-01
 5.78110039E-01 -3.42816402E-02 -4.28521399E-02  8.00036177E-01
 5.26132116E-01 -3.71961443E-02 -4.02256416E-02  7.97861789E-01
 4.73867884E-01 -3.98165840E-02 -2.00840236E-01  8.67093366E-01
 4.21889961E-01 -4.20731292E-02 -6.76931768E-01  1.14752968E+00
 3.70767829E-01 -4.38860445E-02 -7.23484643E-01  1.18267864E+00
 3.21061591E-01 -4.51643013E-02 -7.18465265E-01  1.17959872E+00
 2.73315839E-01 -4.58069740E-02 -7.11076900E-01  1.17483211E+00
 2.28053687E-01 -4.57079446E-02 -6.94848215E-01  1.16452373E+00
 1.85771035E-01 -4.47639131E-02 -6.68780538E-01  1.14820781E+00
 1.46931142E-01 -4.28851000E-02 -6.30081071E-01  1.12443369E+00
 1.11959545E-01 -4.00074580E-02 -5.75254105E-01  1.09187023E+00
 8.12394005E-02 -3.61047699E-02 -4.98513639E-01  1.04520755E+00
 5.51072846E-02 -3.11988162E-02 -3.92894095E-01  9.82774115E-01
 3.38495065E-02 -2.53658815E-02 -2.32398278E-01  8.91064370E-01
 1.76989707E-02 -1.87382540E-02  4.73871791E-02  7.45819681E-01
 6.83262597E-03 -1.15000058E-02  5.13435985E-01  5.38594825E-01
 1.36952616E-03 -3.87712403E-03  1.28041493E+00  2.07574874E-01
 1.36952616E-03  4.21828179E-03  1.32887899E+00  1.48812459E-01
 6.83262597E-03  1.26009810E-02  7.02215551E-01  4.57121774E-01
 1.76989707E-02  2.08176108E-02  2.41100155E-01  6.58028798E-01
 3.38495065E-02  2.87438854E-02 -1.85897971E-02  7.92203722E-01
 5.51072846E-02  3.62395797E-02 -1.91911232E-01  8.86012609E-01
 8.12394005E-02  4.31499764E-02 -3.20473531E-01  9.57014169E-01
 1.11959545E-01  4.93129911E-02 -4.27650254E-01  1.01660444E+00
 1.46931142E-01  5.45710604E-02 -5.20885175E-01  1.07055340E+00
 1.85771035E-01  5.87857775E-02 -6.02218685E-01  1.11653404E+00
 2.28053687E-01  6.18525770E-02 -6.74102422E-01  1.15914029E+00
 2.73315839E-01  6.37126668E-02 -7.36948953E-01  1.19778963E+00
 3.21061591E-01  6.43598879E-02 -7.90757925E-01  1.23195236E+00
 3.70767829E-01  6.38411629E-02 -8.35963246E-01  1.26148027E+00
 4.21889961E-01  6.22504557E-02 -8.73164674E-01  1.28639797E+00
 4.73867884E-01  5.97174360E-02 -9.03188575E-01  1.30694392E+00
 5.26132116E-01  5.63930543E-02 -9.27130810E-01  1.32361905E+00
 5.78110039E-01  5.24347732E-02 -9.46296669E-01  1.33715533E+00
 6.29232171E-01  4.79941504E-02 -9.62248464E-01  1.34854575E+00
 6.78938409E-01  4.32088544E-02 -9.76468076E-01  1.35879152E+00
 7.26684161E-01  3.82001437E-02 -9.90244047E-01  1.36880056E+00
 7.71946313E-01  3.30755956E-02 -1.00458516E+00  1.37931181E+00
 8.14228965E-01  2.79356983E-02 -1.02010061E+00  1.39079933E+00
 8.53068858E-01  2.28820745E-02 -1.03688342E+00  1.40337211E+00
 8.88040455E-01  1.80247782E-02 -1.05099926E+00  1.41477866E+00
 9.18760600E-01  1.34863486E-02 -3.75308220E-01  8.80863643E-01
 9.44892715E-01  9.40108129E-03  1.65521465E-01  6.39486918E-01
