  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1411                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    60.642 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000   0.0056   0.00481   0.00068  -0.0274   0.2343   0.0878
  -0.900   0.0179   0.00481   0.00067  -0.0275   0.2325   0.0885
  -0.800   0.0301   0.00483   0.00068  -0.0275   0.2225   0.0918
  -0.700   0.0423   0.00480   0.00067  -0.0276   0.2216   0.0981
  -0.600   0.0544   0.00483   0.00068  -0.0276   0.2128   0.1002
  -0.500   0.0667   0.00481   0.00067  -0.0276   0.2092   0.1070
  -0.400   0.0789   0.00482   0.00067  -0.0277   0.2037   0.1102
  -0.300   0.0911   0.00483   0.00067  -0.0277   0.1967   0.1129
  -0.200   0.1034   0.00482   0.00067  -0.0278   0.1948   0.1183
  -0.100   0.1155   0.00483   0.00067  -0.0278   0.1871   0.1221
   0.000   0.1278   0.00484   0.00068  -0.0279   0.1833   0.1238
   0.100   0.1398   0.00485   0.00068  -0.0279   0.1742   0.1325
   0.200   0.1520   0.00486   0.00068  -0.0279   0.1687   0.1334
   0.300   0.1642   0.00487   0.00069  -0.0280   0.1634   0.1405
   0.400   0.1765   0.00487   0.00069  -0.0280   0.1598   0.1448
   0.500   0.1887   0.00488   0.00070  -0.0281   0.1567   0.1461
   0.600   0.2009   0.00489   0.00070  -0.0281   0.1485   0.1530
   0.700   0.2131   0.00488   0.00071  -0.0282   0.1475   0.1583
   0.800   0.2252   0.00492   0.00073  -0.0282   0.1379   0.1619
   1.000   0.2496   0.00494   0.00074  -0.0283   0.1306   0.1704
   1.100   0.2618   0.00495   0.00075  -0.0283   0.1250   0.1743
   1.200   0.2740   0.00494   0.00075  -0.0284   0.1225   0.1841
   1.300   0.2861   0.00495   0.00077  -0.0284   0.1172   0.1927
   1.400   0.2984   0.00498   0.00078  -0.0285   0.1131   0.1895
   1.500   0.3105   0.00500   0.00079  -0.0285   0.1074   0.1965
   1.600   0.3227   0.00501   0.00080  -0.0285   0.1030   0.2016
   1.800   0.3470   0.00505   0.00083  -0.0286   0.0944   0.2144
   1.900   0.3593   0.00505   0.00084  -0.0286   0.0918   0.2176
   2.000   0.3714   0.00508   0.00086  -0.0286   0.0862   0.2239
   2.100   0.3835   0.00509   0.00087  -0.0287   0.0819   0.2320
   2.200   0.3959   0.00510   0.00088  -0.0287   0.0813   0.2336
   2.300   0.4080   0.00513   0.00091  -0.0287   0.0772   0.2373
   2.400   0.4201   0.00514   0.00092  -0.0288   0.0721   0.2454
   2.500   0.4324   0.00515   0.00094  -0.0288   0.0712   0.2536
   2.700   0.4567   0.00520   0.00098  -0.0288   0.0631   0.2606
   2.800   0.4689   0.00522   0.00100  -0.0289   0.0610   0.2694
   2.900   0.4810   0.00525   0.00103  -0.0289   0.0580   0.2730
   3.000   0.4933   0.00527   0.00104  -0.0289   0.0548   0.2764
   3.100   0.5055   0.00528   0.00106  -0.0289   0.0544   0.2835
   3.200   0.5176   0.00532   0.00110  -0.0289   0.0494   0.2867
   3.300   0.5299   0.00534   0.00111  -0.0289   0.0476   0.2925
   3.500   0.5542   0.00537   0.00116  -0.0290   0.0449   0.3070
   3.600   0.5664   0.00540   0.00119  -0.0290   0.0420   0.3121
   3.700   0.5786   0.00542   0.00121  -0.0290   0.0400   0.3199
   3.800   0.5907   0.00546   0.00124  -0.0290   0.0373   0.3233
   3.900   0.6030   0.00548   0.00127  -0.0290   0.0358   0.3296
   4.000   0.6152   0.00549   0.00129  -0.0290   0.0352   0.3361
   4.100   0.6275   0.00552   0.00132  -0.0290   0.0344   0.3388
   4.300   0.6519   0.00557   0.00138  -0.0290   0.0306   0.3520
   4.400   0.6641   0.00560   0.00140  -0.0290   0.0297   0.3603
   4.500   0.6762   0.00563   0.00144  -0.0289   0.0283   0.3634
   4.600   0.6884   0.00566   0.00147  -0.0289   0.0267   0.3724
   4.700   0.7007   0.00568   0.00150  -0.0289   0.0261   0.3774
   4.800   0.7130   0.00570   0.00153  -0.0289   0.0256   0.3834
   4.900   0.7250   0.00575   0.00157  -0.0289   0.0233   0.3887
   5.000   0.7373   0.00577   0.00160  -0.0288   0.0224   0.3964
   5.100   0.7496   0.00580   0.00163  -0.0288   0.0222   0.4022
   5.200   0.7618   0.00583   0.00167  -0.0288   0.0217   0.4076
   5.300   0.7739   0.00586   0.00171  -0.0287   0.0205   0.4156
   5.400   0.7862   0.00590   0.00175  -0.0287   0.0194   0.4217
   5.500   0.7984   0.00592   0.00178  -0.0287   0.0190   0.4285
   5.600   0.8106   0.00596   0.00182  -0.0286   0.0183   0.4361
   5.700   0.8229   0.00598   0.00185  -0.0286   0.0182   0.4422
