# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01-1.23468967E-01

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 1.90254477E-01  2.57206226E+01 -1.84892358E+02  2.57209728E+01  1.34827680E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.63522971E-01  5.15485453E-01
 1.00201544E+00 -6.40561508E-05  4.75740556E-01  5.22255714E-01
 1.00459359E+00 -1.43263606E-04  4.31278080E-01  5.50742818E-01
 1.00763019E+00 -2.35095797E-04  3.96059711E-01  5.76708943E-01
 1.01149946E+00 -3.51824156E-04  3.70575409E-01  5.97968928E-01
 1.01601683E+00 -4.87043459E-04  3.49507823E-01  6.15796166E-01
 1.02114139E+00 -6.38489702E-04  3.31116551E-01  6.31071479E-01
 1.02693976E+00 -8.07215308E-04  3.14209126E-01  6.44558009E-01
 1.03353897E+00 -9.95999330E-04  2.98167099E-01  6.56767982E-01
 1.04109900E+00 -1.20835584E-03  2.82654499E-01  6.68050491E-01
 1.04980571E+00 -1.44822945E-03  2.67486487E-01  6.78645053E-01
 1.05987115E+00 -1.71992372E-03  2.52563686E-01  6.88713324E-01
 1.07153637E+00 -2.02808208E-03  2.37832823E-01  6.98363134E-01
 1.08507570E+00 -2.37768049E-03  2.23263145E-01  7.07667455E-01
 1.10080203E+00 -2.77401326E-03  2.08838170E-01  7.16676213E-01
 1.11907306E+00 -3.22265609E-03  1.94554605E-01  7.25422701E-01
 1.14029830E+00 -3.72939429E-03  1.80422286E-01  7.33928713E-01
 1.16494674E+00 -4.30011093E-03  1.66454270E-01  7.42211262E-01
 1.19355510E+00 -4.94063986E-03  1.52660112E-01  7.50279168E-01
 1.22673657E+00 -5.65659974E-03  1.39095987E-01  7.58116600E-01
 1.26518990E+00 -6.45323567E-03  1.25852856E-01  7.65696648E-01
 1.30970870E+00 -7.33529938E-03  1.12989268E-01  7.73000259E-01
 1.36119130E+00 -8.30699470E-03  1.00589801E-01  7.79999351E-01
 1.42065115E+00 -9.37200284E-03  8.87326280E-02  7.86667277E-01
 1.48922832E+00 -1.05335849E-02  7.74994149E-02  7.92974358E-01
 1.56820268E+00 -1.17947432E-02  6.69875371E-02  7.98886152E-01
 1.65900927E+00 -1.31584138E-02  5.72715921E-02  8.04377636E-01
 1.76325650E+00 -1.46276584E-02  4.84107166E-02  8.09429171E-01
 1.88274793E+00 -1.62058312E-02  4.04578813E-02  8.14025545E-01
 2.01950800E+00 -1.78967017E-02  3.34261020E-02  8.18169338E-01
 2.17581230E+00 -1.97045292E-02  2.72986202E-02  8.21874861E-01
 2.35422291E+00 -2.16340895E-02  2.20440229E-02  8.25162105E-01
 2.55762922E+00 -2.36906634E-02  1.76061364E-02  8.28059655E-01
 2.78929471E+00 -2.58799987E-02  1.39187402E-02  8.30598265E-01
 3.05291045E+00 -2.82082582E-02  1.09020597E-02  8.32813610E-01
 3.35883525E+00 -3.08489804E-02  8.48874069E-03  8.34767260E-01
 3.71436975E+00 -3.38681665E-02  6.45815483E-03  8.36530771E-01
 4.12128878E+00 -3.71647738E-02  4.85398970E-03  8.38072420E-01
 4.58608691E+00 -4.07527736E-02  3.71366387E-03  8.39411119E-01
 5.11658260E+00 -4.46552901E-02  2.80794982E-03  8.40616007E-01
 5.72179066E+00 -4.88986729E-02  2.10743899E-03  8.41644050E-01
 6.41204052E+00 -5.35120921E-02  1.55482392E-03  8.42573904E-01
 7.19914191E+00 -5.85276055E-02  1.11955674E-03  8.43412532E-01
 8.09658266E+00 -6.39803370E-02  7.47237419E-04  8.44176400E-01
 9.11975841E+00 -6.99087221E-02  3.51470561E-04  8.44897165E-01
 1.02862370E+01 -7.63548064E-02 -1.00959041E-04  8.45667031E-01
 1.16160610E+01 -8.33645917E-02 -8.88487455E-04  8.46541404E-01
 1.31320942E+01 -9.09884300E-02 -2.54891464E-03  8.47890154E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.89974790E-01 -2.56884241E+01  1.84679199E+02 -2.56887739E+01 -1.34617380E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.27203860E-01  4.83441432E-01
 1.00201544E+00 -6.40561508E-05  4.55467399E-01  4.86013976E-01
 1.00459359E+00 -1.43263606E-04  4.13987283E-01  5.13247400E-01
 1.00763019E+00 -2.35095797E-04  3.80902696E-01  5.38361683E-01
 1.01149946E+00 -3.51824156E-04  3.55717414E-01  5.59253861E-01
 1.01601683E+00 -4.87043459E-04  3.35288205E-01  5.76875797E-01
 1.02114139E+00 -6.38489702E-04  3.17474033E-01  5.92210221E-01
 1.02693976E+00 -8.07215308E-04  3.01198437E-01  6.05942248E-01
 1.03353897E+00 -9.95999330E-04  2.85816430E-01  6.18553731E-01
 1.04109900E+00 -1.20835584E-03  2.70978708E-01  6.30360943E-01
 1.04980571E+00 -1.44822945E-03  2.56490571E-01  6.41571387E-01
 1.05987115E+00 -1.71992372E-03  2.42244898E-01  6.52319075E-01
 1.07153637E+00 -2.02808208E-03  2.28179280E-01  6.62694329E-01
 1.08507570E+00 -2.37768049E-03  2.14252468E-01  6.72758817E-01
 1.10080203E+00 -2.77401326E-03  2.00440730E-01  6.82549743E-01
 1.11907306E+00 -3.22265609E-03  1.86735306E-01  6.92083202E-01
 1.14029830E+00 -3.72939429E-03  1.73145617E-01  7.01359043E-01
 1.16494674E+00 -4.30011093E-03  1.59691059E-01  7.10371683E-01
 1.19355510E+00 -4.94063986E-03  1.46394703E-01  7.19113749E-01
 1.22673657E+00 -5.65659974E-03  1.33297045E-01  7.27567960E-01
 1.26518990E+00 -6.45323567E-03  1.20474848E-01  7.35710603E-01
 1.30970870E+00 -7.33529938E-03  1.08001880E-01  7.43535543E-01
 1.36119130E+00 -8.30699470E-03  9.59198586E-02  7.51054432E-01
 1.42065115E+00 -9.37200284E-03  8.43243775E-02  7.58247689E-01
 1.48922832E+00 -1.05335849E-02  7.33287408E-02  7.65074042E-01
 1.56820268E+00 -1.17947432E-02  6.30401763E-02  7.71486723E-01
 1.65900927E+00 -1.31584138E-02  5.35494055E-02  7.77446412E-01
 1.76325650E+00 -1.46276584E-02  4.49149940E-02  7.82930185E-01
 1.88274793E+00 -1.62058312E-02  3.71763323E-02  7.87928921E-01
 2.01950800E+00 -1.78967017E-02  3.03394597E-02  7.92452740E-01
 2.17581230E+00 -1.97045292E-02  2.43859024E-02  7.96526123E-01
 2.35422291E+00 -2.16340895E-02  1.92769734E-02  8.00186272E-01
 2.55762922E+00 -2.36906634E-02  1.49527605E-02  8.03483275E-01
 2.78929471E+00 -2.58799987E-02  1.13468817E-02  8.06470806E-01
 3.05291045E+00 -2.82082582E-02  8.40441875E-03  8.09184047E-01
 3.35883525E+00 -3.08489804E-02  6.11433068E-03  8.11704222E-01
 3.71436975E+00 -3.38681665E-02  4.07164528E-03  8.14078654E-01
