  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 1411                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    16.731 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.900   0.0198   0.00504   0.00066  -0.0276   0.3887   0.1583
  -0.800   0.0318   0.00501   0.00065  -0.0277   0.3834   0.1686
  -0.700   0.0440   0.00502   0.00066  -0.0277   0.3762   0.1718
  -0.600   0.0560   0.00501   0.00065  -0.0277   0.3697   0.1808
  -0.500   0.0681   0.00499   0.00064  -0.0277   0.3644   0.1899
  -0.400   0.0802   0.00499   0.00064  -0.0278   0.3575   0.1952
  -0.300   0.0922   0.00501   0.00064  -0.0278   0.3481   0.2015
  -0.200   0.1043   0.00501   0.00064  -0.0278   0.3411   0.2067
  -0.100   0.1164   0.00502   0.00064  -0.0279   0.3339   0.2129
   0.000   0.1283   0.00502   0.00065  -0.0279   0.3244   0.2240
   0.100   0.1405   0.00500   0.00064  -0.0279   0.3209   0.2318
   0.200   0.1524   0.00502   0.00065  -0.0279   0.3109   0.2403
   0.300   0.1646   0.00501   0.00065  -0.0280   0.3077   0.2479
   0.400   0.1765   0.00502   0.00066  -0.0280   0.2966   0.2571
   0.500   0.1886   0.00503   0.00067  -0.0280   0.2903   0.2645
   0.600   0.2007   0.00504   0.00067  -0.0280   0.2832   0.2707
   0.700   0.2126   0.00507   0.00069  -0.0280   0.2716   0.2789
   0.800   0.2247   0.00506   0.00069  -0.0281   0.2683   0.2870
   0.900   0.2366   0.00508   0.00070  -0.0281   0.2583   0.2954
   1.000   0.2487   0.00511   0.00072  -0.0281   0.2514   0.3010
   1.100   0.2606   0.00512   0.00073  -0.0281   0.2420   0.3123
   1.200   0.2725   0.00513   0.00074  -0.0281   0.2332   0.3221
   1.300   0.2845   0.00517   0.00076  -0.0281   0.2247   0.3276
   1.400   0.2966   0.00516   0.00077  -0.0282   0.2201   0.3381
   1.500   0.3085   0.00520   0.00079  -0.0282   0.2097   0.3455
   1.600   0.3207   0.00520   0.00080  -0.0282   0.2062   0.3542
   1.800   0.3443   0.00527   0.00085  -0.0282   0.1856   0.3740
   1.900   0.3564   0.00528   0.00086  -0.0282   0.1803   0.3814
   2.000   0.3684   0.00531   0.00088  -0.0282   0.1727   0.3918
   2.100   0.3804   0.00531   0.00090  -0.0282   0.1685   0.4041
   2.200   0.3923   0.00534   0.00092  -0.0282   0.1600   0.4144
   2.300   0.4042   0.00536   0.00095  -0.0282   0.1530   0.4249
   2.400   0.4162   0.00537   0.00097  -0.0282   0.1472   0.4367
   2.500   0.4280   0.00542   0.00100  -0.0282   0.1369   0.4460
   2.600   0.4400   0.00544   0.00102  -0.0282   0.1332   0.4555
   2.700   0.4519   0.00547   0.00105  -0.0282   0.1252   0.4661
   2.900   0.4758   0.00552   0.00111  -0.0281   0.1132   0.4879
   3.000   0.4877   0.00556   0.00115  -0.0281   0.1078   0.4971
   3.100   0.4997   0.00558   0.00117  -0.0281   0.1025   0.5072
   3.200   0.5115   0.00562   0.00121  -0.0281   0.0957   0.5193
   3.300   0.5236   0.00563   0.00124  -0.0281   0.0917   0.5305
   3.400   0.5354   0.00569   0.00128  -0.0280   0.0853   0.5384
   3.500   0.5475   0.00572   0.00131  -0.0280   0.0811   0.5459
   3.600   0.5594   0.00574   0.00135  -0.0280   0.0774   0.5585
   3.700   0.5713   0.00577   0.00138  -0.0280   0.0723   0.5684
   3.800   0.5834   0.00580   0.00142  -0.0280   0.0701   0.5762
   3.900   0.5953   0.00584   0.00146  -0.0279   0.0662   0.5880
   4.000   0.6072   0.00587   0.00150  -0.0279   0.0616   0.5978
   4.100   0.6192   0.00591   0.00154  -0.0278   0.0588   0.6082
   4.200   0.6312   0.00594   0.00158  -0.0278   0.0550   0.6162
   4.300   0.6432   0.00597   0.00162  -0.0278   0.0531   0.6272
   4.400   0.6551   0.00601   0.00166  -0.0277   0.0495   0.6377
   4.500   0.6671   0.00604   0.00170  -0.0277   0.0473   0.6482
   4.600   0.6791   0.00608   0.00175  -0.0276   0.0451   0.6563
   4.700   0.6911   0.00612   0.00179  -0.0276   0.0421   0.6653
   4.800   0.7031   0.00614   0.00183  -0.0275   0.0407   0.6764
   4.900   0.7150   0.00618   0.00189  -0.0275   0.0386   0.6876
   5.000   0.7270   0.00622   0.00193  -0.0274   0.0365   0.6972
   5.100   0.7391   0.00625   0.00198  -0.0274   0.0348   0.7074
   5.200   0.7510   0.00629   0.00203  -0.0273   0.0335   0.7177
   5.300   0.7629   0.00632   0.00208  -0.0272   0.0315   0.7302
   5.400   0.7750   0.00635   0.00213  -0.0271   0.0304   0.7401
   5.500   0.7871   0.00639   0.00217  -0.0271   0.0295   0.7505
   5.600   0.7990   0.00643   0.00223  -0.0270   0.0283   0.7607
   5.700   0.8109   0.00647   0.00228  -0.0269   0.0262   0.7723
   5.800   0.8229   0.00650   0.00233  -0.0268   0.0257   0.7838
   5.900   0.8349   0.00654   0.00239  -0.0267   0.0246   0.7938
   6.000   0.8468   0.00659   0.00245  -0.0266   0.0235   0.8045
   6.100   0.8588   0.00663   0.00250  -0.0265   0.0224   0.8147
   6.200   0.8708   0.00665   0.00256  -0.0264   0.0220   0.8265
   6.300   0.8828   0.00669   0.00262  -0.0263   0.0213   0.8376
   6.400   0.8946   0.00674   0.00268  -0.0262   0.0204   0.8492
   6.500   0.9065   0.00679   0.00275  -0.0261   0.0191   0.8590
   6.600   0.9185   0.00682   0.00280  -0.0259   0.0189   0.8703
   6.700   0.9304   0.00686   0.00286  -0.0258   0.0183   0.8809
   6.800   0.9423   0.00691   0.00293  -0.0256   0.0178   0.8917
   6.900   0.9540   0.00696   0.00300  -0.0255   0.0169   0.9024
   7.000   0.9658   0.00701   0.00307  -0.0253   0.0162   0.9120
   7.100   0.9777   0.00705   0.00313  -0.0251   0.0160   0.9225
   7.200   0.9894   0.00709   0.00319  -0.0249   0.0157   0.9334
   7.300   1.0009   0.00714   0.00327  -0.0246   0.0152   0.9432
   7.400   1.0122   0.00721   0.00335  -0.0243   0.0145   0.9525
   7.500   1.0236   0.00726   0.00342  -0.0240   0.0141   0.9601
   7.600   1.0350   0.00733   0.00349  -0.0237   0.0135   0.9669
   7.700   1.0461   0.00738   0.00356  -0.0234   0.0134   0.9736
   7.800   1.0571   0.00744   0.00363  -0.0230   0.0131   0.9789
   7.900   1.0685   0.00751   0.00370  -0.0226   0.0128   0.9826
   8.000   1.0796   0.00758   0.00378  -0.0223   0.0124   0.9866
   8.100   1.0912   0.00767   0.00386  -0.0220   0.0120   0.9896
   8.200   1.1033   0.00775   0.00395  -0.0218   0.0115   0.9919
   8.300   1.1158   0.00783   0.00402  -0.0218   0.0112   0.9936
   8.400   1.1288   0.00791   0.00410  -0.0218   0.0111   0.9949
   8.500   1.1417   0.00799   0.00418  -0.0218   0.0109   0.9962
   8.600   1.1544   0.00807   0.00427  -0.0217   0.0107   0.9974
   8.700   1.1677   0.00817   0.00436  -0.0218   0.0105   0.9980
   8.800   1.1809   0.00827   0.00446  -0.0218   0.0101   0.9985
   8.900   1.1940   0.00838   0.00457  -0.0219   0.0097   0.9991
   9.000   1.2071   0.00848   0.00467  -0.0219   0.0093   0.9997
   9.100   1.2197   0.00857   0.00476  -0.0218   0.0092   1.0000
   9.200   1.2314   0.00866   0.00485  -0.0215   0.0091   1.0000
   9.300   1.2432   0.00874   0.00494  -0.0212   0.0090   1.0000
   9.400   1.2549   0.00884   0.00503  -0.0209   0.0089   1.0000
   9.500   1.2666   0.00893   0.00513  -0.0206   0.0087   1.0000
   9.600   1.2783   0.00904   0.00524  -0.0203   0.0085   1.0000
   9.700   1.2899   0.00915   0.00535  -0.0199   0.0082   1.0000
   9.800   1.3015   0.00927   0.00547  -0.0196   0.0080   1.0000
   9.900   1.3131   0.00938   0.00558  -0.0193   0.0077   1.0000
  10.000   1.3247   0.00950   0.00571  -0.0189   0.0075   1.0000
  10.100   1.3365   0.00960   0.00581  -0.0186   0.0074   1.0000
  10.200   1.3483   0.00970   0.00592  -0.0183   0.0074   1.0000
  10.300   1.3601   0.00981   0.00603  -0.0179   0.0073   1.0000
  10.400   1.3718   0.00992   0.00614  -0.0176   0.0072   1.0000
  10.500   1.3835   0.01003   0.00626  -0.0172   0.0071   1.0000
  10.600   1.3952   0.01015   0.00639  -0.0169   0.0070   1.0000
  10.700   1.4068   0.01027   0.00651  -0.0165   0.0069   1.0000
  10.800   1.4184   0.01039   0.00665  -0.0161   0.0068   1.0000
  10.900   1.4299   0.01053   0.00679  -0.0157   0.0066   1.0000
  11.000   1.4413   0.01067   0.00694  -0.0152   0.0064   1.0000
  11.100   1.4527   0.01081   0.00709  -0.0148   0.0063   1.0000
  11.200   1.4640   0.01096   0.00724  -0.0144   0.0061   1.0000
  11.300   1.4753   0.01111   0.00740  -0.0139   0.0059   1.0000
  11.400   1.4868   0.01125   0.00755  -0.0134   0.0058   1.0000
  11.500   1.4983   0.01138   0.00769  -0.0130   0.0058   1.0000
  11.600   1.5098   0.01151   0.00783  -0.0125   0.0058   1.0000
  11.700   1.5212   0.01165   0.00798  -0.0121   0.0057   1.0000
  11.800   1.5326   0.01179   0.00813  -0.0116   0.0057   1.0000
  11.900   1.5439   0.01194   0.00829  -0.0111   0.0056   1.0000
  12.000   1.5552   0.01209   0.00845  -0.0106   0.0055   1.0000
  12.100   1.5663   0.01224   0.00862  -0.0100   0.0055   1.0000
  12.200   1.5774   0.01241   0.00879  -0.0095   0.0054   1.0000
  12.300   1.5884   0.01257   0.00897  -0.0089   0.0053   1.0000
  12.400   1.5994   0.01274   0.00916  -0.0084   0.0052   1.0000
  12.500   1.6101   0.01292   0.00935  -0.0077   0.0051   1.0000
  12.600   1.6209   0.01311   0.00955  -0.0071   0.0050   1.0000
  12.700   1.6315   0.01330   0.00976  -0.0065   0.0049   1.0000
  12.800   1.6420   0.01350   0.00997  -0.0058   0.0048   1.0000
  12.900   1.6523   0.01370   0.01019  -0.0051   0.0048   1.0000
  13.000   1.6625   0.01391   0.01043  -0.0044   0.0046   1.0000
  13.100   1.6724   0.01414   0.01068  -0.0037   0.0045   1.0000
  13.200   1.6824   0.01436   0.01092  -0.0029   0.0045   1.0000
  13.300   1.6926   0.01457   0.01114  -0.0022   0.0045   1.0000
  13.400   1.7027   0.01477   0.01137  -0.0015   0.0044   1.0000
  13.500   1.7126   0.01499   0.01160  -0.0007   0.0044   1.0000
  13.600   1.7224   0.01520   0.01184   0.0001   0.0044   1.0000
  13.700   1.7319   0.01543   0.01209   0.0009   0.0044   1.0000
  13.800   1.7413   0.01567   0.01235   0.0018   0.0043   1.0000
  13.900   1.7504   0.01591   0.01262   0.0027   0.0043   1.0000
  14.000   1.7593   0.01616   0.01289   0.0036   0.0043   1.0000
  14.100   1.7677   0.01641   0.01317   0.0046   0.0042   1.0000
  14.200   1.7752   0.01668   0.01346   0.0057   0.0042   1.0000
