# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 7.93093910E-01

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 1.90237366E-01  2.57254293E+01 -1.84931407E+02  2.57203316E+01  5.46301734E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.67669063E-01  5.35617054E-01
 1.00201544E+00 -6.40561508E-05  4.72022424E-01  5.43842533E-01
 1.00459359E+00 -1.43263606E-04  4.23559279E-01  5.73192765E-01
 1.00763019E+00 -2.35095797E-04  3.84836305E-01  5.99740042E-01
 1.01149946E+00 -3.51824156E-04  3.57591255E-01  6.20814229E-01
 1.01601683E+00 -4.87043459E-04  3.35724289E-01  6.38116320E-01
 1.02114139E+00 -6.38489702E-04  3.16776372E-01  6.52804299E-01
 1.02693976E+00 -8.07215308E-04  2.99493438E-01  6.65692312E-01
 1.03353897E+00 -9.95999330E-04  2.83235212E-01  6.77317235E-01
 1.04109900E+00 -1.20835584E-03  2.67670389E-01  6.88028124E-01
 1.04980571E+00 -1.44822945E-03  2.52622656E-01  6.98050566E-01
 1.05987115E+00 -1.71992372E-03  2.37998678E-01  7.07528465E-01
 1.07153637E+00 -2.02808208E-03  2.23749320E-01  7.16553666E-01
 1.08507570E+00 -2.37768049E-03  2.09851354E-01  7.25185494E-01
 1.10080203E+00 -2.77401326E-03  1.96294554E-01  7.33466521E-01
 1.11907306E+00 -3.22265609E-03  1.83052812E-01  7.41438158E-01
 1.14029830E+00 -3.72939429E-03  1.70089664E-01  7.49137891E-01
 1.16494674E+00 -4.30011093E-03  1.57394021E-01  7.56590784E-01
 1.19355510E+00 -4.94063986E-03  1.44939309E-01  7.63822937E-01
 1.22673657E+00 -5.65659974E-03  1.32719633E-01  7.70845182E-01
 1.26518990E+00 -6.45323567E-03  1.20776723E-01  7.77647588E-01
 1.30970870E+00 -7.33529938E-03  1.09160324E-01  7.84216751E-01
 1.36119130E+00 -8.30699470E-03  9.79122039E-02  7.90539550E-01
 1.42065115E+00 -9.37200284E-03  8.71011701E-02  7.96591717E-01
 1.48922832E+00 -1.05335849E-02  7.67800237E-02  8.02352009E-01
 1.56820268E+00 -1.17947432E-02  6.70316216E-02  8.07792923E-01
 1.65900927E+00 -1.31584138E-02  5.78749080E-02  8.12904044E-01
 1.76325650E+00 -1.46276584E-02  4.94064470E-02  8.17645309E-01
 1.88274793E+00 -1.62058312E-02  4.16832858E-02  8.21991694E-01
 2.01950800E+00 -1.78967017E-02  3.47633126E-02  8.25918869E-01
 2.17581230E+00 -1.97045292E-02  2.86680065E-02  8.29418275E-01
 2.35422291E+00 -2.16340895E-02  2.33933234E-02  8.32493346E-01
 2.55762922E+00 -2.36906634E-02  1.89083325E-02  8.35159345E-01
 2.78929471E+00 -2.58799987E-02  1.51653416E-02  8.37439393E-01
 3.05291045E+00 -2.82082582E-02  1.20974152E-02  8.39368926E-01
 3.35883525E+00 -3.08489804E-02  9.59472539E-03  8.41009129E-01
 3.71436975E+00 -3.38681665E-02  7.46445517E-03  8.42432324E-01
 4.12128878E+00 -3.71647738E-02  5.86337597E-03  8.43575144E-01
 4.58608691E+00 -4.07527736E-02  4.79509823E-03  8.44479267E-01
 5.11658260E+00 -4.46552901E-02  3.72526805E-03  8.45296889E-01
 5.72179066E+00 -4.88986729E-02  3.08587554E-03  8.45965290E-01
 6.41204052E+00 -5.35120921E-02  2.40206374E-03  8.46526423E-01
 7.19914191E+00 -5.85276055E-02  2.02089328E-03  8.47055369E-01
 8.09658266E+00 -6.39803370E-02  1.45921371E-03  8.47474746E-01
 9.11975841E+00 -6.99087221E-02  1.10873267E-03  8.47961032E-01
 1.02862370E+01 -7.63548064E-02  4.10162364E-04  8.48493529E-01
 1.16160610E+01 -8.33645917E-02 -7.87443213E-04  8.49308740E-01
 1.31320942E+01 -9.09884300E-02 -2.75908467E-03  8.50484719E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.89819540E-01 -2.56761450E+01  1.84592301E+02 -2.56710578E+01 -5.45201772E-01
# x y Cp Mach
 1.00035737E+00 -1.17412948E-05  4.12047918E-01  4.87208800E-01
