  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    45.176 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.0920   0.00592   0.00116  -0.0532   0.0206   0.1026
  -0.900  -0.0804   0.00592   0.00115  -0.0531   0.0158   0.1046
  -0.800  -0.0686   0.00593   0.00116  -0.0531   0.0131   0.1043
  -0.700  -0.0568   0.00592   0.00115  -0.0531   0.0136   0.1065
  -0.600  -0.0453   0.00592   0.00115  -0.0530   0.0104   0.1089
  -0.500  -0.0334   0.00592   0.00115  -0.0530   0.0095   0.1091
  -0.400  -0.0216   0.00592   0.00115  -0.0530   0.0090   0.1095
  -0.300  -0.0098   0.00593   0.00115  -0.0529   0.0075   0.1101
  -0.200   0.0018   0.00595   0.00116  -0.0528   0.0050   0.1102
  -0.100   0.0138   0.00594   0.00116  -0.0528   0.0066   0.1108
   0.000   0.0256   0.00594   0.00116  -0.0528   0.0061   0.1145
   0.100   0.0373   0.00596   0.00117  -0.0527   0.0042   0.1143
   0.200   0.0491   0.00595   0.00117  -0.0527   0.0044   0.1175
   0.300   0.0608   0.00594   0.00117  -0.0526   0.0042   0.1202
   0.400   0.0725   0.00596   0.00118  -0.0526   0.0028   0.1200
   0.500   0.0845   0.00596   0.00118  -0.0526   0.0038   0.1209
   0.600   0.0961   0.00598   0.00120  -0.0525   0.0026   0.1208
   0.700   0.1080   0.00599   0.00121  -0.0524   0.0025   0.1219
   0.800   0.1197   0.00600   0.00122  -0.0524   0.0025   0.1249
   0.900   0.1315   0.00600   0.00122  -0.0523   0.0023   0.1271
   1.000   0.1432   0.00601   0.00123  -0.0522   0.0021   0.1287
   1.100   0.1549   0.00601   0.00124  -0.0522   0.0020   0.1313
   1.200   0.1667   0.00602   0.00125  -0.0521   0.0019   0.1320
   1.400   0.1904   0.00605   0.00128  -0.0520   0.0016   0.1334
   1.500   0.2022   0.00607   0.00129  -0.0519   0.0015   0.1336
   1.600   0.2139   0.00607   0.00130  -0.0518   0.0019   0.1384
   1.700   0.2257   0.00609   0.00132  -0.0517   0.0015   0.1396
   1.800   0.2374   0.00609   0.00133  -0.0517   0.0017   0.1429
   2.000   0.2610   0.00612   0.00137  -0.0515   0.0015   0.1444
   2.100   0.2727   0.00614   0.00138  -0.0514   0.0015   0.1447
   2.200   0.2845   0.00616   0.00140  -0.0513   0.0015   0.1491
   2.300   0.2962   0.00617   0.00142  -0.0512   0.0015   0.1526
   2.400   0.3079   0.00618   0.00144  -0.0511   0.0015   0.1555
   2.500   0.3197   0.00620   0.00146  -0.0509   0.0015   0.1567
   2.600   0.3315   0.00622   0.00148  -0.0508   0.0015   0.1571
   2.700   0.3432   0.00624   0.00151  -0.0507   0.0015   0.1591
   2.800   0.3550   0.00626   0.00153  -0.0506   0.0015   0.1626
   2.900   0.3667   0.00628   0.00156  -0.0505   0.0015   0.1644
   3.000   0.3784   0.00630   0.00158  -0.0503   0.0015   0.1679
   3.100   0.3901   0.00632   0.00161  -0.0502   0.0015   0.1692
   3.200   0.4018   0.00634   0.00164  -0.0500   0.0015   0.1719
   3.300   0.4135   0.00638   0.00167  -0.0499   0.0015   0.1711
   3.400   0.4253   0.00640   0.00170  -0.0497   0.0015   0.1758
   3.500   0.4369   0.00643   0.00174  -0.0495   0.0015   0.1771
   3.600   0.4486   0.00644   0.00176  -0.0494   0.0015   0.1835
   3.700   0.4603   0.00647   0.00179  -0.0492   0.0015   0.1855
   3.800   0.4720   0.00650   0.00183  -0.0490   0.0015   0.1908
   3.900   0.4836   0.00652   0.00187  -0.0488   0.0015   0.1958
   4.000   0.4953   0.00656   0.00191  -0.0486   0.0015   0.1976
   4.100   0.5067   0.00660   0.00197  -0.0484   0.0015   0.2029
   4.200   0.5184   0.00662   0.00200  -0.0482   0.0015   0.2100
   4.300   0.5298   0.00667   0.00206  -0.0479   0.0015   0.2115
   4.400   0.5417   0.00669   0.00209  -0.0478   0.0015   0.2144
   4.500   0.5534   0.00673   0.00213  -0.0475   0.0015   0.2198
   4.600   0.5646   0.00678   0.00221  -0.0472   0.0015   0.2246
   4.700   0.5764   0.00681   0.00224  -0.0470   0.0015   0.2262
   4.800   0.5877   0.00688   0.00233  -0.0467   0.0015   0.2321
   5.000   0.6100   0.00702   0.00252  -0.0460   0.0015   0.2439
   5.200   0.6319   0.00720   0.00276  -0.0451   0.0015   0.2548
   5.300   0.6411   0.00742   0.00305  -0.0444   0.0015   0.2706
   5.400   0.6552   0.00729   0.00287  -0.0446   0.0015   0.2682
   5.500   0.6646   0.00750   0.00315  -0.0439   0.0015   0.2837
   5.600   0.6757   0.00759   0.00328  -0.0435   0.0015   0.2952
   5.700   0.6876   0.00765   0.00332  -0.0432   0.0015   0.2864
   5.800   0.6968   0.00789   0.00367  -0.0424   0.0015   0.3128
   6.000   0.7134   0.00820   0.00455  -0.0409   0.0015   0.5377
   6.100   0.7245   0.00843   0.00480  -0.0404   0.0015   0.5348
   6.400   0.7567   0.00919   0.00577  -0.0390   0.0015   0.5792
