# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 2.01069225E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-2.44018263E-01  2.57689162E+01 -1.85281916E+02  2.57616118E+01  6.60260104E-01
# x y Cp Mach
 1.00032376E+00 -6.12233925E-05  4.66036101E-01  5.27110196E-01
 1.00192298E+00 -2.64215641E-04  4.21822487E-01  5.41774148E-01
 1.00445409E+00 -5.30402833E-04  3.98695639E-01  5.59366446E-01
 1.00745494E+00 -8.26873068E-04  3.88457869E-01  5.75454223E-01
 1.01130031E+00 -1.19737565E-03  3.77780349E-01  5.89881075E-01
 1.01580203E+00 -1.60848027E-03  3.69122818E-01  6.02037992E-01
 1.02092234E+00 -2.04345016E-03  3.55784482E-01  6.13952954E-01
 1.02673454E+00 -2.49676429E-03  3.46897500E-01  6.24672329E-01
 1.03337275E+00 -2.96693805E-03  3.33994364E-01  6.35421088E-01
 1.04100335E+00 -3.45242999E-03  3.20308256E-01  6.45871291E-01
 1.04981786E+00 -3.95035084E-03  3.05727454E-01  6.56237549E-01
 1.06003325E+00 -4.45605383E-03  2.90419795E-01  6.66539930E-01
 1.07189457E+00 -4.96294882E-03  2.74640962E-01  6.76777621E-01
 1.08567893E+00 -5.46242935E-03  2.58149606E-01  6.87027176E-01
 1.10170052E+00 -5.94388072E-03  2.41641477E-01  6.97088360E-01
 1.12031658E+00 -6.39474452E-03  2.25089151E-01  7.06993446E-01
 1.14193425E+00 -6.80062707E-03  2.08636347E-01  7.16744359E-01
 1.16701819E+00 -7.14545192E-03  1.92281082E-01  7.26350807E-01
 1.19609900E+00 -7.41166742E-03  1.76109424E-01  7.35804039E-01
 1.22978215E+00 -7.58052432E-03  1.60180196E-01  7.45066726E-01
 1.26875755E+00 -7.63243202E-03  1.44602042E-01  7.54095280E-01
 1.31380944E+00 -7.54738622E-03  1.29447527E-01  7.62844087E-01
 1.36582678E+00 -7.30543859E-03  1.14833132E-01  7.71263405E-01
 1.42581423E+00 -6.88715912E-03  1.00894115E-01  7.79301308E-01
 1.49490418E+00 -6.27403089E-03  8.77789756E-02  7.86905849E-01
 1.57437019E+00 -5.44872056E-03  7.56201436E-02  7.94023256E-01
 1.66564257E+00 -4.39518326E-03  6.45178204E-02  8.00603360E-01
 1.77032662E+00 -3.09858459E-03  5.45323071E-02  8.06611318E-01
 1.89022428E+00 -1.54504617E-03  4.56718816E-02  8.12040944E-01
 2.02735968E+00  2.78754767E-04  3.78922360E-02  8.16914843E-01
 2.18400917E+00  2.38609483E-03  3.11129440E-02  8.21274457E-01
 2.36273638E+00  4.79078544E-03  2.52445954E-02  8.25165434E-01
 2.56643279E+00  7.50778755E-03  2.01946652E-02  8.28601946E-01
 2.79836435E+00  1.05538338E-02  1.62572435E-02  8.31487222E-01
 3.06222468E+00  1.39480443E-02  1.30841612E-02  8.33983480E-01
 3.36838683E+00  1.76764518E-02  1.03303114E-02  8.36227883E-01
 3.72414989E+00  2.17955958E-02  8.07422820E-03  8.38187245E-01
 4.13127979E+00  2.64120808E-02  6.33522581E-03  8.39851476E-01
 4.59627820E+00  3.15803611E-02  4.92272210E-03  8.41300895E-01
 5.12696596E+00  3.73619237E-02  3.96882055E-03  8.42558189E-01
 5.73235920E+00  4.38272540E-02  3.09105311E-03  8.43594838E-01
 6.42278829E+00  5.10567146E-02  2.60179912E-03  8.44463934E-01
 7.21006370E+00  5.91416457E-02  1.99906608E-03  8.45209671E-01
 8.10767375E+00  6.81856905E-02  1.55081003E-03  8.45907118E-01
 9.13101441E+00  7.83063432E-02  1.07748477E-03  8.46607261E-01
 1.02976536E+01  8.96367329E-02  4.02555912E-04  8.47361532E-01
 1.16276340E+01  1.02327668E-01 -7.36244978E-04  8.48389631E-01
 1.31438192E+01  1.16549970E-01 -2.92734041E-03  8.50018608E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 2.43986416E-01 -2.56934977E+01  1.84890208E+02 -2.56862386E+01 -6.57645800E-01
# x y Cp Mach
 1.00032376E+00 -6.12233925E-05  1.68677965E-01  3.14208586E-01
 1.00192298E+00 -2.64215641E-04  2.42812231E-01  2.99769145E-01
 1.00445409E+00 -5.30402833E-04  2.49727479E-01  3.19626293E-01
 1.00745494E+00 -8.26873068E-04  2.56832780E-01  3.41079900E-01
 1.01130031E+00 -1.19737565E-03  2.58052938E-01  3.64875558E-01
 1.01580203E+00 -1.60848027E-03  2.57421698E-01  3.88918917E-01
 1.02092234E+00 -2.04345016E-03  2.55238281E-01  4.12589795E-01
 1.02673454E+00 -2.49676429E-03  2.52027846E-01  4.35623644E-01
 1.03337275E+00 -2.96693805E-03  2.47130889E-01  4.57892768E-01
 1.04100335E+00 -3.45242999E-03  2.41061215E-01  4.79147045E-01
 1.04981786E+00 -3.95035084E-03  2.34059354E-01  4.99373095E-01
 1.06003325E+00 -4.45605383E-03  2.25891704E-01  5.18501031E-01
 1.07189457E+00 -4.96294882E-03  2.18617907E-01  5.36210392E-01
 1.08567893E+00 -5.46242935E-03  2.07554057E-01  5.54070868E-01
 1.10170052E+00 -5.94388072E-03  1.96172280E-01  5.70714062E-01
 1.12031658E+00 -6.39474452E-03  1.85522483E-01  5.86886139E-01
 1.14193425E+00 -6.80062707E-03  1.73479335E-01  6.02178579E-01
 1.16701819E+00 -7.14545192E-03  1.61810797E-01  6.17041013E-01
 1.19609900E+00 -7.41166742E-03  1.49316566E-01  6.31236223E-01
 1.22978215E+00 -7.58052432E-03  1.36772266E-01  6.44932642E-01
