  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL_A                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    60.642 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.1720   0.00574   0.00124  -0.0290   0.0827   0.1028
  -0.900  -0.1598   0.00574   0.00124  -0.0291   0.0786   0.1027
  -0.800  -0.1482   0.00577   0.00124  -0.0291   0.0645   0.1031
  -0.700  -0.1362   0.00578   0.00124  -0.0291   0.0577   0.1042
  -0.600  -0.1238   0.00577   0.00123  -0.0292   0.0614   0.1055
  -0.500  -0.1120   0.00578   0.00123  -0.0292   0.0520   0.1068
  -0.400  -0.1003   0.00580   0.00123  -0.0291   0.0406   0.1085
  -0.300  -0.0884   0.00580   0.00123  -0.0291   0.0379   0.1103
  -0.200  -0.0762   0.00578   0.00122  -0.0292   0.0408   0.1114
  -0.100  -0.0642   0.00579   0.00122  -0.0292   0.0364   0.1121
   0.000  -0.0522   0.00581   0.00123  -0.0293   0.0319   0.1123
   0.100  -0.0403   0.00582   0.00123  -0.0293   0.0266   0.1130
   0.200  -0.0281   0.00582   0.00123  -0.0293   0.0263   0.1145
   0.300  -0.0163   0.00584   0.00124  -0.0293   0.0212   0.1167
   0.400  -0.0042   0.00584   0.00124  -0.0293   0.0207   0.1176
   0.500   0.0079   0.00586   0.00125  -0.0294   0.0191   0.1163
   0.600   0.0199   0.00585   0.00125  -0.0294   0.0189   0.1197
   0.700   0.0317   0.00585   0.00125  -0.0294   0.0157   0.1220
   0.800   0.0436   0.00587   0.00126  -0.0294   0.0131   0.1227
   0.900   0.0560   0.00586   0.00126  -0.0295   0.0156   0.1227
   1.000   0.0679   0.00588   0.00127  -0.0295   0.0133   0.1229
   1.100   0.0800   0.00589   0.00129  -0.0295   0.0125   0.1247
   1.200   0.0921   0.00590   0.00129  -0.0295   0.0122   0.1252
   1.300   0.1040   0.00590   0.00130  -0.0295   0.0113   0.1299
   1.400   0.1157   0.00592   0.00131  -0.0294   0.0089   0.1319
   1.500   0.1279   0.00591   0.00132  -0.0295   0.0101   0.1331
   1.600   0.1400   0.00593   0.00133  -0.0295   0.0093   0.1324
   1.700   0.1520   0.00594   0.00134  -0.0295   0.0090   0.1339
   1.800   0.1641   0.00595   0.00135  -0.0295   0.0091   0.1346
   1.900   0.1759   0.00598   0.00137  -0.0295   0.0071   0.1363
   2.000   0.1880   0.00598   0.00138  -0.0295   0.0075   0.1392
   2.100   0.1998   0.00599   0.00139  -0.0294   0.0069   0.1419
   2.200   0.2116   0.00600   0.00141  -0.0294   0.0062   0.1448
   2.300   0.2238   0.00601   0.00141  -0.0294   0.0071   0.1450
   2.400   0.2356   0.00603   0.00144  -0.0294   0.0058   0.1455
   2.500   0.2477   0.00605   0.00145  -0.0294   0.0057   0.1453
   2.600   0.2597   0.00607   0.00147  -0.0293   0.0057   0.1483
   2.700   0.2716   0.00608   0.00148  -0.0293   0.0057   0.1524
   2.800   0.2835   0.00608   0.00150  -0.0293   0.0057   0.1554
   2.900   0.2954   0.00609   0.00152  -0.0292   0.0057   0.1573
   3.000   0.3073   0.00612   0.00154  -0.0292   0.0053   0.1575
   3.100   0.3193   0.00614   0.00156  -0.0291   0.0054   0.1584
   3.200   0.3309   0.00617   0.00159  -0.0290   0.0042   0.1615
   3.300   0.3430   0.00618   0.00161  -0.0290   0.0048   0.1640
   3.400   0.3547   0.00620   0.00163  -0.0289   0.0042   0.1670
   3.500   0.3666   0.00622   0.00165  -0.0288   0.0042   0.1698
   3.600   0.3785   0.00624   0.00167  -0.0287   0.0042   0.1707
   3.700   0.3904   0.00626   0.00170  -0.0287   0.0044   0.1728
   3.800   0.4022   0.00629   0.00172  -0.0286   0.0040   0.1759
   3.900   0.4140   0.00630   0.00174  -0.0285   0.0040   0.1813
   4.000   0.4255   0.00634   0.00179  -0.0283   0.0035   0.1825
   4.100   0.4376   0.00635   0.00180  -0.0283   0.0038   0.1832
   4.200   0.4489   0.00640   0.00185  -0.0281   0.0030   0.1842
   4.300   0.4605   0.00644   0.00189  -0.0279   0.0025   0.1850
   4.400   0.4724   0.00646   0.00191  -0.0278   0.0027   0.1903
   4.500   0.4842   0.00648   0.00194  -0.0277   0.0028   0.1926
   4.600   0.4958   0.00651   0.00197  -0.0275   0.0026   0.1962
   4.700   0.5074   0.00654   0.00201  -0.0274   0.0025   0.1975
   4.800   0.5193   0.00657   0.00204  -0.0273   0.0026   0.1981
   4.900   0.5308   0.00661   0.00208  -0.0271   0.0025   0.2006
   5.000   0.5421   0.00666   0.00213  -0.0268   0.0022   0.2034
   5.100   0.5538   0.00668   0.00216  -0.0267   0.0023   0.2099
   5.200   0.5652   0.00671   0.00221  -0.0265   0.0021   0.2155
   5.300   0.5769   0.00674   0.00224  -0.0263   0.0022   0.2197
   5.400   0.5883   0.00677   0.00228  -0.0260   0.0021   0.2246
   5.500   0.6001   0.00680   0.00231  -0.0259   0.0022   0.2258
   5.600   0.6116   0.00684   0.00236  -0.0257   0.0022   0.2319
   5.700   0.6227   0.00689   0.00241  -0.0254   0.0017   0.2353
   5.800   0.6342   0.00691   0.00246  -0.0251   0.0018   0.2429
   5.900   0.6457   0.00695   0.00250  -0.0249   0.0019   0.2484
   6.000   0.6569   0.00699   0.00255  -0.0246   0.0016   0.2539
   6.100   0.6684   0.00702   0.00259  -0.0244   0.0017   0.2573
   6.300   0.6912   0.00711   0.00269  -0.0238   0.0016   0.2669
   6.400   0.7025   0.00715   0.00274  -0.0235   0.0016   0.2693
   6.600   0.7250   0.00722   0.00284  -0.0229   0.0016   0.2886
   6.700   0.7363   0.00726   0.00289  -0.0226   0.0016   0.2964
   6.800   0.7475   0.00730   0.00294  -0.0222   0.0016   0.3025
   6.900   0.7585   0.00733   0.00300  -0.0219   0.0015   0.3183
   7.000   0.7700   0.00741   0.00307  -0.0215   0.0015   0.3071
   7.100   0.7811   0.00742   0.00311  -0.0212   0.0016   0.3268
   7.200   0.7921   0.00746   0.00317  -0.0208   0.0016   0.3363
   7.300   0.8032   0.00751   0.00323  -0.0204   0.0015   0.3427
   7.400   0.8137   0.00749   0.00328  -0.0199   0.0016   0.3872
   7.600   0.8367   0.00770   0.00342  -0.0192   0.0015   0.3410
   7.700   0.8437   0.00737   0.00345  -0.0183   0.0016   0.5342
   7.800   0.8539   0.00740   0.00352  -0.0177   0.0015   0.5545
   7.900   0.8649   0.00745   0.00359  -0.0172   0.0015   0.5595
   8.000   0.8755   0.00749   0.00365  -0.0168   0.0015   0.5713
   8.100   0.8865   0.00755   0.00372  -0.0163   0.0015   0.5747
   8.200   0.8968   0.00763   0.00381  -0.0157   0.0015   0.5816
   8.300   0.9077   0.00762   0.00385  -0.0152   0.0016   0.5998
   8.400   0.9178   0.00768   0.00393  -0.0146   0.0015   0.6133
   8.500   0.9288   0.00778   0.00402  -0.0141   0.0015   0.6076
   8.600   0.9394   0.00783   0.00409  -0.0135   0.0015   0.6133
   8.700   0.9502   0.00790   0.00417  -0.0130   0.0015   0.6144
   8.800   0.9595   0.00795   0.00425  -0.0122   0.0015   0.6303
   8.900   0.9676   0.00800   0.00433  -0.0111   0.0015   0.6410
   9.000   0.9757   0.00802   0.00438  -0.0101   0.0015   0.6543
   9.100   0.9848   0.00808   0.00445  -0.0092   0.0015   0.6581
   9.200   0.9932   0.00818   0.00457  -0.0082   0.0015   0.6634
   9.300   1.0029   0.00826   0.00465  -0.0074   0.0015   0.6624
   9.400   1.0111   0.00838   0.00480  -0.0063   0.0015   0.6721
   9.500   1.0211   0.00839   0.00483  -0.0056   0.0015   0.6827
   9.600   1.0302   0.00849   0.00495  -0.0047   0.0015   0.6860
   9.700   1.0392   0.00864   0.00511  -0.0038   0.0015   0.6875
   9.800   1.0485   0.00878   0.00526  -0.0030   0.0015   0.6841
   9.900   1.0595   0.00876   0.00524  -0.0024   0.0015   0.6930
  10.000   1.0689   0.00888   0.00537  -0.0015   0.0015   0.6950
  10.100   1.0781   0.00900   0.00552  -0.0006   0.0015   0.7014
  10.200   1.0873   0.00918   0.00572   0.0002   0.0015   0.7002
  10.300   1.0979   0.00918   0.00573   0.0009   0.0015   0.7092
  10.400   1.1066   0.00947   0.00605   0.0019   0.0015   0.7041
  10.500   1.1141   0.00990   0.00658   0.0030   0.0015   0.7135
  10.600   1.1269   0.00962   0.00623   0.0034   0.0015   0.7154
  10.700   1.1364   0.00984   0.00647   0.0043   0.0015   0.7163
  10.800   1.1461   0.01003   0.00670   0.0051   0.0015   0.7162
  10.900   1.1564   0.01012   0.00680   0.0058   0.0015   0.7207
  11.000   1.1654   0.01055   0.00729   0.0067   0.0015   0.7230
  11.100   1.1753   0.01086   0.00765   0.0074   0.0015   0.7247
  11.200   1.1859   0.01084   0.00762   0.0082   0.0015   0.7281
  11.300   1.1961   0.01120   0.00804   0.0089   0.0015   0.7291
  11.400   1.2068   0.01110   0.00791   0.0097   0.0015   0.7296
  11.500   1.2171   0.01156   0.00844   0.0104   0.0015   0.7281
  11.600   1.2275   0.01255   0.00956   0.0108   0.0015   0.7298
  11.900   1.2581   0.01256   0.00954   0.0134   0.0016   0.7308
  12.000   1.2683   0.01274   0.00974   0.0142   0.0016   0.7311
  12.100   1.2722   0.01551   0.01286   0.0147   0.0015   0.7323
  12.200   1.2767   0.01656   0.01401   0.0159   0.0016   0.7341
  12.300   1.2972   0.01386   0.01099   0.0167   0.0017   0.7359
  12.400   1.2785   0.01868   0.01632   0.0192   0.0016   0.7372
  12.500   1.3123   0.01523   0.01252   0.0187   0.0017   0.7387
  12.600   1.2695   0.02120   0.01903   0.0236   0.0016   0.7400
  12.700   1.2751   0.02145   0.01930   0.0249   0.0016   0.7413
  12.800   1.2785   0.02192   0.01980   0.0265   0.0016   0.7425
