# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 3.17811095E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-2.46462967E-01  2.57823579E+01 -1.85570169E+02  2.57563690E+01  1.18329157E+00
# x y Cp Mach
 1.00028554E+00 -1.20552373E-05  4.33267167E-01  5.29091263E-01
 1.00183475E+00 -5.41838676E-05  3.88487446E-01  5.42863304E-01
 1.00435620E+00 -1.11049630E-04  3.69964848E-01  5.58484399E-01
 1.00737283E+00 -1.75231145E-04  3.61321530E-01  5.73475658E-01
 1.01124606E+00 -2.55756494E-04  3.48414008E-01  5.87759977E-01
 1.01577302E+00 -3.45124519E-04  3.41749756E-01  5.99558788E-01
 1.02091280E+00 -4.39760095E-04  3.27644945E-01  6.10991073E-01
 1.02674118E+00 -5.38600923E-04  3.20630303E-01  6.21018695E-01
 1.03339646E+00 -6.41455257E-04  3.08820205E-01  6.30899108E-01
 1.04104918E+00 -7.48064575E-04  2.96804086E-01  6.40545947E-01
 1.04989482E+00 -8.57775798E-04  2.84216662E-01  6.50053245E-01
 1.06015408E+00 -9.69380804E-04  2.70981334E-01  6.59507530E-01
 1.07207556E+00 -1.08097123E-03  2.57405626E-01  6.68933019E-01
 1.08593960E+00 -1.18977750E-03  2.43010950E-01  6.78491050E-01
 1.10206338E+00 -1.29198073E-03  2.28616137E-01  6.87994568E-01
 1.12080668E+00 -1.38249398E-03  2.13604463E-01  6.97643370E-01
 1.14257869E+00 -1.45472189E-03  1.98518736E-01  7.07267872E-01
 1.16784544E+00 -1.50032247E-03  1.83359961E-01  7.16874955E-01
 1.19713811E+00 -1.50900817E-03  1.68235132E-01  7.26428846E-01
 1.23106191E+00 -1.46843040E-03  1.53267062E-01  7.35881748E-01
 1.27030560E+00 -1.36418715E-03  1.38572318E-01  7.45182971E-01
 1.31565139E+00 -1.17997586E-03  1.24255525E-01  7.54281927E-01
 1.36798547E+00 -8.97887060E-04  1.10414260E-01  7.63126603E-01
 1.42830923E+00 -4.98804474E-04  9.71533628E-02  7.71659240E-01
 1.49775141E+00  3.71454931E-05  8.45874069E-02  7.79817260E-01
 1.57758190E+00  7.30162947E-04  7.28322737E-02  7.87537912E-01
 1.66922746E+00  1.60042669E-03  6.19969109E-02  7.94762278E-01
 1.77429029E+00  2.66787888E-03  5.21725250E-02  8.01442253E-01
 1.89456972E+00  3.95216989E-03  4.33967020E-02  8.07556702E-01
 2.03208795E+00  5.47276800E-03  3.56468714E-02  8.13119992E-01
 2.18912008E+00  7.24922198E-03  2.88227118E-02  8.18167779E-01
 2.36822918E+00  9.30155387E-03  2.29433906E-02  8.22661026E-01
 2.57230681E+00  1.16507522E-02  1.83172790E-02  8.26487159E-01
 2.80461957E+00  1.43193383E-02  1.46839945E-02  8.29780296E-01
 3.06886221E+00  1.73319839E-02  1.14747682E-02  8.32733962E-01
 3.37540645E+00  2.07267818E-02  9.05040836E-03  8.35220270E-01
 3.73154904E+00  2.45622950E-02  7.01218712E-03  8.37518143E-01
 4.13905988E+00  2.88969760E-02  5.67867221E-03  8.39317693E-01
 4.60444675E+00  3.37855189E-02  4.50684237E-03  8.40916550E-01
 5.13553345E+00  3.92918409E-02  3.77287998E-03  8.42143564E-01
 5.74133845E+00  4.54893869E-02  3.17073282E-03  8.43245193E-01
 6.43219433E+00  5.24620275E-02  2.71768377E-03  8.44116472E-01
 7.21991370E+00  6.03052723E-02  2.35398999E-03  8.44862988E-01
 8.11798700E+00  6.91277261E-02  1.97062426E-03  8.45554981E-01
 9.14181235E+00  7.90527842E-02  1.43987297E-03  8.46284457E-01
 1.03089599E+01  9.02205837E-02  6.10781855E-04  8.47386257E-01
 1.16394746E+01  1.02790236E-01 -1.24857562E-03  8.49082713E-01
 1.31562224E+01  1.16942373E-01 -5.05190256E-03  8.52107963E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 2.45804125E-01 -2.56897519E+01  1.85045396E+02 -2.56638689E+01 -1.17881532E+00
# x y Cp Mach
 1.00028554E+00 -1.20552373E-05  1.46079904E-01  3.03431883E-01
 1.00183475E+00 -5.41838676E-05  2.10918656E-01  2.92280751E-01
 1.00435620E+00 -1.11049630E-04  2.23924168E-01  3.07348532E-01
 1.00737283E+00 -1.75231145E-04  2.33958354E-01  3.22531840E-01
 1.01124606E+00 -2.55756494E-04  2.36837584E-01  3.39757223E-01
 1.01577302E+00 -3.45124519E-04  2.37310038E-01  3.57801314E-01
 1.02091280E+00 -4.39760095E-04  2.34715550E-01  3.76497705E-01
