  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL_B                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =    16.731 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -0.900  -0.0799   0.00431   0.00042  -0.0187   0.3559   0.4015
  -0.800  -0.0703   0.00417   0.00038  -0.0185   0.3482   0.4452
  -0.700  -0.0618   0.00413   0.00037  -0.0180   0.3099   0.4828
  -0.600  -0.0515   0.00413   0.00036  -0.0178   0.2900   0.5004
  -0.500  -0.0401   0.00411   0.00036  -0.0179   0.2866   0.5064
  -0.400  -0.0296   0.00418   0.00037  -0.0177   0.2571   0.5101
  -0.300  -0.0188   0.00421   0.00037  -0.0177   0.2400   0.5171
  -0.200  -0.0079   0.00423   0.00037  -0.0176   0.2240   0.5233
  -0.100   0.0023   0.00423   0.00037  -0.0174   0.2032   0.5430
   0.000   0.0132   0.00428   0.00038  -0.0174   0.1820   0.5447
   0.100   0.0234   0.00438   0.00039  -0.0172   0.1398   0.5470
   0.200   0.0334   0.00451   0.00041  -0.0169   0.0892   0.5489
   0.300   0.0452   0.00451   0.00042  -0.0170   0.0953   0.5502
   0.400   0.0559   0.00458   0.00044  -0.0169   0.0678   0.5522
   0.500   0.0662   0.00480   0.00048  -0.0167   0.0107   0.5379
   0.700   0.0883   0.00480   0.00051  -0.0166   0.0026   0.5578
   0.800   0.0998   0.00482   0.00052  -0.0166   0.0022   0.5603
   0.900   0.1113   0.00484   0.00054  -0.0167   0.0022   0.5620
   1.000   0.1227   0.00486   0.00056  -0.0167   0.0016   0.5644
   1.100   0.1343   0.00488   0.00058  -0.0168   0.0017   0.5661
   1.200   0.1457   0.00490   0.00060  -0.0168   0.0015   0.5686
   1.300   0.1573   0.00492   0.00062  -0.0168   0.0012   0.5701
   1.400   0.1688   0.00495   0.00064  -0.0169   0.0012   0.5719
   1.500   0.1803   0.00497   0.00068  -0.0168   0.0009   0.5740
   1.600   0.1917   0.00500   0.00071  -0.0169   0.0009   0.5761
   1.700   0.2031   0.00503   0.00075  -0.0168   0.0009   0.5785
   1.800   0.2142   0.00510   0.00086  -0.0167   0.0008   0.5805
   1.900   0.2255   0.00515   0.00092  -0.0166   0.0008   0.5815
