# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 1.52758570E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-7.73970899E-02  2.56643073E+01 -1.84218662E+02  2.56572496E+01  6.06795718E-01
# x y Cp Mach
 1.00031229E+00 -2.51739229E-05  4.87795998E-01  5.64892386E-01
 1.00189888E+00 -1.17148313E-04  4.71568924E-01  5.74235849E-01
 1.00443246E+00 -2.44136037E-04  4.29313056E-01  5.97281420E-01
 1.00744181E+00 -3.87682207E-04  3.94533886E-01  6.18713105E-01
 1.01129278E+00 -5.67976522E-04  3.68476160E-01  6.36157281E-01
 1.01578677E+00 -7.69896721E-04  3.47048073E-01  6.50643400E-01
 1.02087724E+00 -9.85940673E-04  3.28019683E-01  6.63166618E-01
 1.02663065E+00 -1.21386535E-03  3.10292422E-01  6.74415382E-01
 1.03317581E+00 -1.45335198E-03  2.93346053E-01  6.84806267E-01
 1.04067443E+00 -1.70398062E-03  2.76927170E-01  6.94587107E-01
 1.04931370E+00 -1.96449893E-03  2.60901018E-01  7.03909963E-01
 1.05930654E+00 -2.23250594E-03  2.45158121E-01  7.12881883E-01
 1.07089444E+00 -2.50424549E-03  2.29606739E-01  7.21582386E-01
 1.08435153E+00 -2.77447015E-03  2.14208662E-01  7.30055527E-01
 1.09998982E+00 -3.03638039E-03  1.98982537E-01  7.38317824E-01
 1.11816532E+00 -3.28165080E-03  1.83958705E-01  7.46376298E-01
 1.13928498E+00 -3.50055817E-03  1.69184782E-01  7.54231438E-01
 1.16381435E+00 -3.68222342E-03  1.54681611E-01  7.61885261E-01
 1.19228589E+00 -3.81496980E-03  1.40515201E-01  7.69319186E-01
