  
       XFOIL         Version 6.99
  
 Calculated polar for: AIRFOIL                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.200     Re =    30.118 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.0687   0.00594   0.00115  -0.0491   0.1517   0.1096
  -0.900  -0.0577   0.00596   0.00115  -0.0490   0.1413   0.1100
  -0.800  -0.0463   0.00595   0.00114  -0.0490   0.1377   0.1120
  -0.700  -0.0351   0.00596   0.00114  -0.0489   0.1321   0.1131
  -0.600  -0.0242   0.00599   0.00114  -0.0487   0.1194   0.1138
  -0.500  -0.0127   0.00599   0.00114  -0.0487   0.1145   0.1143
  -0.400  -0.0012   0.00599   0.00114  -0.0487   0.1134   0.1156
  -0.300   0.0098   0.00602   0.00114  -0.0486   0.1028   0.1174
  -0.200   0.0207   0.00605   0.00115  -0.0484   0.0915   0.1175
  -0.100   0.0325   0.00602   0.00114  -0.0484   0.0946   0.1218
   0.000   0.0436   0.00604   0.00114  -0.0483   0.0881   0.1228
   0.100   0.0548   0.00605   0.00115  -0.0482   0.0821   0.1241
   0.200   0.0659   0.00608   0.00115  -0.0481   0.0739   0.1249
   0.300   0.0774   0.00609   0.00116  -0.0481   0.0703   0.1250
   0.400   0.0889   0.00610   0.00116  -0.0480   0.0691   0.1252
   0.500   0.0999   0.00612   0.00117  -0.0479   0.0610   0.1290
   0.600   0.1113   0.00613   0.00117  -0.0478   0.0591   0.1314
   0.700   0.1226   0.00614   0.00118  -0.0478   0.0552   0.1322
   0.800   0.1339   0.00615   0.00118  -0.0477   0.0519   0.1347
   0.900   0.1453   0.00616   0.00119  -0.0476   0.0492   0.1356
   1.000   0.1566   0.00618   0.00120  -0.0475   0.0454   0.1361
   1.100   0.1680   0.00620   0.00121  -0.0475   0.0425   0.1365
   1.200   0.1791   0.00621   0.00122  -0.0473   0.0379   0.1422
   1.300   0.1906   0.00623   0.00123  -0.0473   0.0375   0.1421
   1.400   0.2019   0.00623   0.00124  -0.0472   0.0351   0.1464
   1.500   0.2134   0.00624   0.00125  -0.0472   0.0339   0.1471
   1.600   0.2247   0.00626   0.00126  -0.0471   0.0320   0.1480
   1.700   0.2360   0.00628   0.00128  -0.0470   0.0291   0.1483
   1.800   0.2474   0.00630   0.00129  -0.0469   0.0276   0.1529
   1.900   0.2588   0.00631   0.00130  -0.0468   0.0262   0.1559
   2.000   0.2701   0.00632   0.00131  -0.0467   0.0246   0.1574
   2.100   0.2816   0.00633   0.00133  -0.0467   0.0241   0.1590
   2.200   0.2928   0.00636   0.00134  -0.0466   0.0218   0.1607
   2.300   0.3043   0.00637   0.00136  -0.0465   0.0215   0.1627
   2.400   0.3157   0.00639   0.00138  -0.0464   0.0201   0.1670
   2.500   0.3270   0.00640   0.00139  -0.0463   0.0191   0.1706
   2.600   0.3384   0.00642   0.00141  -0.0462   0.0181   0.1723
   2.700   0.3496   0.00645   0.00143  -0.0461   0.0163   0.1736
   2.800   0.3612   0.00646   0.00144  -0.0461   0.0170   0.1743
   2.900   0.3726   0.00647   0.00146  -0.0460   0.0164   0.1809
   3.000   0.3839   0.00650   0.00149  -0.0459   0.0152   0.1817
   3.100   0.3951   0.00651   0.00151  -0.0457   0.0141   0.1878
   3.200   0.4065   0.00653   0.00153  -0.0456   0.0138   0.1879
   3.300   0.4178   0.00656   0.00155  -0.0455   0.0130   0.1885
   3.400   0.4291   0.00657   0.00158  -0.0454   0.0120   0.2002
   3.500   0.4406   0.00659   0.00159  -0.0453   0.0122   0.1995
