# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 2.01069225E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.98119791E-01  2.57872400E+01 -1.85441550E+02  2.57783140E+01  7.06773228E-01
# x y Cp Mach
 1.00032377E+00 -6.12215556E-05  4.56982339E-01  5.22007095E-01
 1.00192299E+00 -2.64213077E-04  4.15315774E-01  5.36196301E-01
 1.00445410E+00 -5.30407145E-04  3.91734201E-01  5.53865085E-01
 1.00745495E+00 -8.26892967E-04  3.82304171E-01  5.69013954E-01
 1.01130034E+00 -1.19742270E-03  3.74593888E-01  5.83292196E-01
 1.01580208E+00 -1.60857543E-03  3.66982196E-01  5.95731998E-01
 1.02092244E+00 -2.04363042E-03  3.54449963E-01  6.07767775E-01
 1.02673474E+00 -2.49709337E-03  3.46312861E-01  6.18609088E-01
 1.03337313E+00 -2.96752318E-03  3.33121157E-01  6.29920161E-01
 1.04100405E+00 -3.45344798E-03  3.19026628E-01  6.41052203E-01
 1.04981910E+00 -3.95208765E-03  3.04010913E-01  6.52095806E-01
 1.06003538E+00 -4.45896354E-03  2.88391837E-01  6.62966480E-01
 1.07189813E+00 -4.96773942E-03  2.72439450E-01  6.73653104E-01
 1.08568471E+00 -5.47018448E-03  2.56118048E-01  6.84154980E-01
 1.10170969E+00 -5.95622720E-03  2.40134584E-01  6.94277310E-01
 1.12033081E+00 -6.41407510E-03  2.24318998E-01  7.04125120E-01
 1.14195587E+00 -6.83038453E-03  2.08627040E-01  7.13756642E-01
 1.16705034E+00 -7.19047489E-03  1.93039652E-01  7.23210424E-01
 1.19614578E+00 -7.47858934E-03  1.77563761E-01  7.32503657E-01
 1.22984879E+00 -7.67820658E-03  1.62262332E-01  7.41620882E-01
 1.26885048E+00 -7.77240310E-03  1.47249314E-01  7.50523219E-01
 1.31393635E+00 -7.74425257E-03  1.32620287E-01  7.59174888E-01
 1.36599660E+00 -7.57723350E-03  1.18468538E-01  7.67538349E-01
 1.42603706E+00 -7.25560192E-03  1.04891555E-01  7.75571639E-01
 1.49519113E+00 -6.76468109E-03  9.19969007E-02  7.83230109E-01
 1.57473326E+00 -6.09102560E-03  7.98683360E-02  7.90473404E-01
 1.66609442E+00 -5.22243298E-03  6.86247612E-02  7.97247555E-01
 1.77088043E+00 -4.14779651E-03  5.83614322E-02  8.03508489E-01
 1.89089360E+00 -2.85681300E-03  4.91460419E-02  8.09224903E-01
 2.02815829E+00 -1.33957792E-03  4.10048140E-02  8.14385873E-01
 2.18495100E+00  4.13897270E-04  3.39072930E-02  8.19008199E-01
 2.36383547E+00  2.41421248E-03  2.77596512E-02  8.23135577E-01
 2.56770330E+00  4.67311925E-03  2.24705782E-02  8.26811879E-01
 2.79982056E+00  7.20405383E-03  1.79385393E-02  8.30055879E-01
