# EulerBlock output
# Author: Ney Rafael Secco (ney@ita.br)
# Instituto Tecnologico de Aeronautica - ITA
# Sao Jose dos Campos - Brazil
# 2022-09
# Rev: 2024-04

# Reference chord for forces
 1.00000000E+00
# Reference x-y coordinates for moments
 2.50000000E-01 0.00000000E+00
# Free-stream conditions (Mach and alpha [deg])
 8.50000000E-01 4.01069311E+00

# ilow
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
 1.89573358E-01  2.57072039E+01 -1.84976346E+02  2.56309880E+01  1.98713900E+00
# x y Cp Mach
 1.00023838E+00 -3.82808265E-05  5.73830600E-02  7.81988548E-01
 1.00170179E+00 -2.10163381E-04  6.99443986E-02  7.77882248E-01
 1.00415707E+00 -4.69589878E-04  8.06404489E-02  7.75608885E-01
 1.00712074E+00 -7.72742662E-04  9.41966197E-02  7.72960837E-01
 1.01093706E+00 -1.15882176E-03  1.04165399E-01  7.71779080E-01
 1.01538755E+00 -1.59727188E-03  1.12359172E-01  7.71237595E-01
 1.02041903E+00 -2.07533925E-03  1.17314362E-01  7.71694726E-01
 1.02609992E+00 -2.59271528E-03  1.20021513E-01  7.72776989E-01
 1.03256409E+00 -3.15441082E-03  1.20781545E-01  7.74388887E-01
 1.03997869E+00 -3.76652646E-03  1.20460901E-01  7.76448011E-01
 1.04853633E+00 -4.43488509E-03  1.18171267E-01  7.78775983E-01
 1.05845552E+00 -5.16454277E-03  1.16386216E-01  7.81217257E-01
 1.06998356E+00 -5.95948908E-03  1.13096053E-01  7.83811043E-01
 1.08340071E+00 -6.82242901E-03  1.09532722E-01  7.86543238E-01
 1.09902535E+00 -7.75462848E-03  1.05435253E-01  7.89441479E-01
 1.11722003E+00 -8.75581895E-03  1.00753294E-01  7.92515167E-01
 1.13839820E+00 -9.82416748E-03  9.58186516E-02  7.95616005E-01
 1.16303161E+00 -1.09563275E-02  9.12143405E-02  7.98533772E-01
 1.19165841E+00 -1.21475867E-02  8.66918765E-02  8.01328337E-01
 1.22489164E+00 -1.33921250E-02  8.27130532E-02  8.03874181E-01
 1.26342834E+00 -1.46833854E-02  7.84790012E-02  8.06460612E-01
 1.30805903E+00 -1.60145441E-02  7.42622273E-02  8.09004449E-01
 1.35967774E+00 -1.73790507E-02  6.99568803E-02  8.11563011E-01
 1.41929281E+00 -1.87711888E-02  6.53506440E-02  8.14217888E-01
 1.48803876E+00 -2.01866005E-02  6.06040385E-02  8.16915996E-01
 1.56718984E+00 -2.16227175E-02  5.56648989E-02  8.19678268E-01
 1.65817572E+00 -2.30790552E-02  5.05711799E-02  8.22489584E-01
 1.76260003E+00 -2.45573473E-02  4.53773922E-02  8.25325354E-01
 1.88226224E+00 -2.60615207E-02  4.01595267E-02  8.28148834E-01
 2.01918351E+00 -2.75975352E-02  3.50322151E-02  8.30905720E-01
 2.17563699E+00 -2.91731265E-02  3.01149422E-02  8.33537471E-01
 2.35418311E+00 -3.07974919E-02  2.55382511E-02  8.35983290E-01
 2.55771033E+00 -3.24809579E-02  2.13639183E-02  8.38206527E-01
 2.78948182E+00 -3.42346662E-02  1.77091337E-02  8.40151336E-01
 3.05318882E+00 -3.60703003E-02  1.46156284E-02  8.41794843E-01
 3.35919005E+00 -3.82689240E-02  1.21794576E-02  8.43088805E-01
 3.71478645E+00 -4.09085540E-02  9.99586963E-03  8.44219429E-01
 4.12175615E+00 -4.37911792E-02  8.33855199E-03  8.45070076E-01
 4.58659719E+00 -4.69258388E-02  7.09984970E-03  8.45681774E-01
 5.11712919E+00 -5.03343168E-02  6.21131993E-03  8.46089947E-01
 5.72236767E+00 -5.40415808E-02  5.57725801E-03  8.46334498E-01
 6.41264262E+00 -5.80751795E-02  5.13901581E-03  8.46471452E-01
 7.19976435E+00 -6.24652947E-02  4.77247548E-03  8.46557084E-01
 8.09722115E+00 -6.72449210E-02  4.36421466E-03  8.46722242E-01
 9.12040909E+00 -7.24501185E-02  3.64546961E-03  8.47164082E-01
 1.02868963E+01 -7.81203211E-02  2.11616150E-03  8.48292461E-01
 1.16167259E+01 -8.42986947E-02 -1.03368549E-03  8.50801721E-01
 1.31327618E+01 -9.10325457E-02 -6.08187664E-03  8.55528251E-01

# ihigh
# Total forces and moments (Cx, Cy, Cm, Cl, Cd)
-1.88637470E-01 -2.56373588E+01  1.84562635E+02 -2.55613795E+01 -1.98132026E+00
