alpha_deg,CL,CD,CD_avl_nearfield,delta_e_deg,Cm
-3.30967,-0.5,0.02769,0.01526,0,0.12112
-2.7733,-0.42636,0.0249275,0.01412,0,0.11225
-2.23719,-0.35272,0.0225503,0.0132,0,0.1033
-1.70126,-0.27908,0.0205584,0.01248,0,0.09427
-1.16541,-0.20544,0.0189519,0.01197,0,0.08515
-0.62956,-0.1318,0.017731,0.01167,0,0.07596
-0.09361,-0.05816,0.016896,0.01158,0,0.06668
0.44252,0.01548,0.0164473,0.0117,0,0.05733
0.97893,0.08912,0.0163856,0.01202,0,0.0479
1.5157,0.16276,0.0167116,0.01254,0,0.0384
2.05292,0.2364,0.017426,0.01327,0,0.02883
2.59068,0.31003,0.0185298,0.01421,0,0.01919
3.12908,0.38367,0.0200241,0.01534,0,0.00947
3.6682,0.45731,0.0219101,0.01668,0,-0.00031
4.20814,0.53095,0.0241891,0.01822,0,-0.01015
4.74899,0.60459,0.0268626,0.01997,0,-0.02006
5.29085,0.67823,0.0299322,0.02191,0,-0.03003
5.83381,0.75187,0.0333995,0.02404,0,-0.04007
6.37796,0.82551,0.0372665,0.02638,0,-0.05016
6.92341,0.89915,0.0415351,0.02891,0,-0.06031
7.47026,0.97279,0.0462075,0.03163,0,-0.07052
8.0186,1.04643,0.0512859,0.03455,0,-0.08078
8.56854,1.12007,0.0567728,0.03766,0,-0.0911
9.12018,1.19371,0.0626706,0.04095,0,-0.10147
9.67364,1.26735,0.0689823,0.04444,0,-0.11188
