alpha_deg,CL,CD,CD_avl_nearfield,delta_e_deg,Cm
-3.15653,-0.5,0.0292394,0.01594,0,0.2897
-2.62483,-0.42703,0.0264241,0.01474,0,0.26813
-2.09339,-0.35406,0.0239874,0.01375,0,0.24645
-1.56214,-0.28109,0.0219292,0.01296,0,0.22466
-1.03097,-0.20812,0.0202497,0.01237,0,0.20278
-0.49981,-0.13515,0.018949,0.01199,0,0.1808
0.03143,-0.06218,0.0180274,0.01182,0,0.15872
0.56284,0.01079,0.0174854,0.01184,0,0.13655
1.09451,0.08376,0.0173236,0.01207,0,0.1143
1.62653,0.15673,0.0175426,0.01249,0,0.09197
2.15897,0.2297,0.0181432,0.01312,0,0.06956
2.69193,0.30267,0.0191264,0.01395,0,0.04707
3.2255,0.37564,0.0204931,0.01498,0,0.02452
3.75976,0.44861,0.0222445,0.0162,0,0.0019
4.29481,0.52158,0.0243818,0.01763,0,-0.02079
4.83074,0.59455,0.0269066,0.01924,0,-0.04353
5.36763,0.66752,0.0298203,0.02106,0,-0.06633
5.90559,0.74049,0.0331246,0.02307,0,-0.08917
6.44469,0.81346,0.0368212,0.02527,0,-0.11207
6.98505,0.88643,0.0409121,0.02766,0,-0.135
7.52675,0.9594,0.0453993,0.03024,0,-0.15797
8.0699,1.03237,0.050285,0.03301,0,-0.18098
8.61459,1.10534,0.0555716,0.03597,0,-0.20401
9.16092,1.17831,0.0612615,0.03912,0,-0.22708
9.70901,1.25128,0.0673573,0.04245,0,-0.25016
