alpha_deg,CL,CD,CD_avl_nearfield,delta_e_deg,Cm
-3.68462,-0.5,0.0249753,0.01429,7.70675,0
-3.13518,-0.42982,0.0227054,0.0134,7.14613,0
-2.58592,-0.35965,0.0207644,0.01267,6.58533,0
-2.03674,-0.28947,0.0191524,0.01211,6.02415,0
-1.48755,-0.21929,0.0178696,0.01172,5.46241,0
-0.93828,-0.14912,0.0169163,0.01149,4.89991,0
-0.38882,-0.07894,0.0162929,0.01144,4.33646,0
0.16089,-0.00876,0.0159998,0.01154,3.77187,0
0.71097,0.06142,0.0160376,0.01181,3.20594,0
1.26148,0.13159,0.0164069,0.01225,2.63847,0
1.81252,0.20177,0.0171085,0.01284,2.06926,-0
2.36419,0.27195,0.0181433,0.0136,1.49811,-0
2.91657,0.34213,0.019512,0.01451,0.92482,-0
3.46974,0.4123,0.0212158,0.01559,0.34916,-0
4.02381,0.48248,0.0232558,0.01682,-0.22907,-0
4.57886,0.55266,0.0256331,0.01821,-0.81008,-0
5.13499,0.62283,0.0283491,0.01975,-1.39411,-0
5.6923,0.69301,0.0314051,0.02145,-1.98139,-0
6.25086,0.76319,0.0348027,0.0233,-2.57214,-0
6.8108,0.83336,0.0385434,0.0253,-3.16661,0
7.37219,0.90354,0.042629,0.02745,-3.76504,0
7.93515,0.97372,0.0470611,0.02974,-4.36768,-0
8.49977,1.0439,0.0518418,0.03218,-4.97481,-0
9.06615,1.11407,0.056973,0.03477,-5.58669,-0
9.63441,1.18425,0.0624568,0.03749,-6.2036,-0
