alpha_deg,CL,CD,CD_avl_nearfield,delta_e_deg,Cm
-3.5305,-0.5,0.0258971,0.01457,3.22471,-0
-2.98843,-0.42777,0.023398,0.01359,2.98942,-0
-2.4465,-0.35554,0.0212568,0.0128,2.75302,0
-1.90464,-0.2833,0.0194735,0.0122,2.51544,0
-1.36274,-0.21107,0.0180482,0.01178,2.27659,0
-0.82072,-0.13884,0.016981,0.01155,2.0364,0
-0.2785,-0.06661,0.0162723,0.01151,1.79479,0
0.26402,0.00563,0.0159223,0.01165,1.55167,0
0.80692,0.07786,0.0159317,0.01198,1.30697,0
1.35029,0.15009,0.0163011,0.01249,1.06059,-0
1.89423,0.22233,0.0170311,0.01318,0.81245,-0
2.43882,0.29456,0.0181225,0.01405,0.56246,-0
2.98415,0.36679,0.0195764,0.01511,0.31051,-0
3.53031,0.43902,0.0213936,0.01634,0.05652,-0
4.0774,0.51126,0.0235755,0.01775,-0.19963,-0
4.6255,0.58349,0.0261232,0.01934,-0.45802,-0
5.17472,0.65572,0.0290382,0.0211,-0.71878,0
5.72514,0.72795,0.0323218,0.02304,-0.98201,0
6.27687,0.80018,0.0359758,0.02515,-1.24783,0
6.83,0.87242,0.0400017,0.02743,-1.51635,0
7.38464,0.94465,0.0444015,0.02988,-1.78772,0
7.94087,1.01688,0.049177,0.0325,-2.06204,0
8.49882,1.08911,0.0543305,0.03529,-2.33947,0
9.05857,1.16135,0.059864,0.03824,-2.62013,0
9.62025,1.23358,0.0657799,0.04135,-2.90419,0
