parametro,valor
S_ref,330
c_ref,6.54655
b_ref,58.8643
m,209048
Ixx,1.20994e+07
Iyy,3.40447e+07
Izz,4.42444e+07
Ixz,938023
ip,0
xp,-5.24129
zp,3.075
Tmax,374500
V,255.038
h,9875.52
CL0,-0.00995
CLa,7.82107
CLq,11.308
CLit,0.950021
CLde,0.540758
CD0,0.0168174
CDa,-0.0608253
CDa2,2.19318
CDq,0.15974
CDit,0.00635983
CDde,0.0040107
CM0,-0.07346
CMa,-1.04851
CMq,-47.5719
CMit,-3.73248
CMde,-2.23391
CYb,0.695771
CYp,-0.008058
CYr,0.096674
CYdr,-0.255024
Clb,-0.175192
Clp,-0.55988
Clr,0.120047
Clda,-0.199447
Cldr,0.0298511
Cnb,-0.097002
Cnp,-0.056674
Cnr,-0.175879
Cnda,-0.0136937
Cndr,-0.114821
